npb_name,english_name,origin_league,player_type,mlb_api_id,career_pa,career_ip,match_quality
アキーノ,Aristides Aquino,MLB,hitter,606157,762,,exact
アギラー,Jesús Aguilar,MLB,hitter,542583,2658,,exact
アストゥディーヨ,Willians Astudillo,MLB,hitter,553902,588,7.0,exact
アセベド,Stiven Acevedo,Independent,hitter,,,,skip
アダメス,Samuel Adames,AAA,pitcher,642715,4296,,likely
アビラ,Pedro Avila,MLB,pitcher,658648,3,146.1,exact
アブレイユ,Albert Abreu,MLB,pitcher,656061,0,135.2,exact
アマダー,Japhet Amador,Independent,hitter,,,,skip
アラウホ,Elvis Araújo,MLB,pitcher,542587,1,62.0,exact
アルカンタラ,Raúl Alcántara,KBO,hitter,,,,skip
アルシア,Oswaldo Arcia,MLB,hitter,542455,1075,,exact
アルバレス,Dariel Álvarez,Independent,hitter,,,,skip
アルバース,Andrew Albers,MLB,pitcher,452027,3,139.2,exact
アルモンテ,Zoilo Almonte,Independent,hitter,,,,skip
アンダーソン,Leslie Anderson,AAA,hitter,493306,,,exact
アンドリース,Matt Andriese,MLB,pitcher,542882,9,515.0,exact
アンバギー,Trey Amburgey,MLB,hitter,664011,4,,exact
アーリン,Robbie Erlin,MLB,pitcher,572362,81,341.2,exact
イノーア,Gabriel Ynoa,MLB,pitcher,593679,4,163.2,exact
イ・デウン,Lee Dae-eun,AAA,pitcher,,,,ambiguous
ウィック,Rowan Wick,MLB,pitcher,592858,0,146.0,exact
ウィルカーソン,Aaron Wilkerson,MLB,pitcher,658792,9,35.1,exact
ウィンゲンター,Trey Wingenter,MLB,pitcher,622259,0,95.1,exact
ウィーランド,Joe Wieland,MLB,pitcher,543921,13,52.2,exact
ウィーラー,Zelous Wheeler,MLB,hitter,519412,62,,exact
ウェンデルケン,J.B. Wendelken,MLB,pitcher,605525,0,159.2,exact
ウエスト,Matt West,MLB,pitcher,519411,0,7.0,exact
ウォルターズ,Nash Walters,MLB,pitcher,663534,,0.1,exact
ウォーカー,Adam Walker,Independent,hitter,,,,skip
ウルキデス,Jason Urquidez,Independent,pitcher,,,,skip
ウルフ,Brian Wolfe,MLB,pitcher,430582,0,82.2,exact
ウレーニャ,Estamy Gabriel Ureña,MiLB,hitter,,,,ambiguous
エスコバー,Edwin Escobar,MLB,pitcher,546276,2,25.2,exact
エスコバー,Alcides Escobar,MLB,hitter,444876,6182,1.2,exact
エスパーダ,José Manuel Espada,MLB,pitcher,664744,,4.0,likely
エスピナル,Raynel Espinal,MLB,pitcher,642659,,6.2,exact
エスピノーザ,Anderson Espinoza,MLB,pitcher,659262,,18.1,exact
エチェバリア,Adeiny Hechavarria,MLB,hitter,588751,3288,,exact
エップラー,Tyler Eppler,AAA,pitcher,621169,,,exact
エドワーズ,Jon Edwards,MLB,pitcher,457754,0,41.2,exact
エリアン,Elian Herrera,AAA,hitter,467070,639,,exact
エルドレッド,Brad Eldred,AAA,hitter,434660,299,,exact
エルナンデス,Anderson Hernandez,AAA,hitter,435038,703,,exact
エレラ,Yoslan Herrera,MLB,pitcher,506648,7,35.0,exact
エンス,Dietrich Enns,MLB,pitcher,608650,2,72.2,exact
オグレディ,Brian O'Grady,MLB,hitter,657434,114,,exact
オスカル,Oscar Nakaoji,Independent,pitcher,,,,skip
オスナ,Jose Osuna,MLB,hitter,591741,705,2.1,exact
オリバレス,Edward Olivares,MLB,hitter,658668,967,,exact
オルモス,Edgar Olmos,MLB,pitcher,543607,0,19.0,exact
オンドルセク,Logan Ondrusek,MLB,pitcher,446185,7,277.0,exact
オースティン,Tyler Austin,MLB,hitter,592122,583,,exact
オーレンドルフ,Ross Ohlendorf,MLB,pitcher,456027,152,586.2,exact
カイケル,Dallas Keuchel,MLB,pitcher,572971,89,1642.1,exact
カスティーヨ,Fabio Castillo,MLB,pitcher,503566,0,1.1,exact
カステヤーノス,Alex Castellanos,MLB,hitter,543008,43,,exact
カニザレス,Bárbaro Cañizares,Independent,hitter,,,,skip
カミネロ,Arquimedes Caminero,MLB,pitcher,491708,2,155.0,exact
カラシティー,Matt Carasiti,MLB,pitcher,571539,1,58.1,exact
カラバイヨ,Francisco Caraballo,Independent,hitter,,,,skip
カリステ,Orlando Calixte,Independent,hitter,,,,skip
カルロス・ロサ,Carlos Rosa,MLB,pitcher,460349,0,34.0,exact
カンポス,Leonel Campos,MLB,pitcher,599998,0,43.2,exact
ガゼルマン,Robert Gsellman,MLB,pitcher,607229,72,366.0,exact
ガラテ,Victor Garate,Independent,pitcher,,,,skip
ガルシア,Guillermo García García,Cuba,hitter,,,,skip
ガルシア,Anthony Garcia,MiLB,hitter,571685,,,exact
ガルセス,Frank Garces,MLB,pitcher,571057,0,47.0,exact
ガルビス,Freddy Galvis,MLB,hitter,520471,4238,,exact
ガンケル,Joe Gunkel,AAA,pitcher,641646,,,exact
ガーバー,Mike Gerber,MLB,hitter,595222,73,,exact
キブレハン,Patrick Kivlehan,MLB,hitter,623182,250,,exact
キャベッジ,Trey Cabbage,MLB,hitter,663550,147,,exact
キャンデラリオ,Alexis Candelario,Independent,pitcher,,,,skip
キャンベル,Eric Campbell,MLB,hitter,493472,517,,exact
ギッテンス,Chris Gittens,MLB,hitter,656467,44,,exact
ギャレット,Reed Garrett,MLB,pitcher,657585,,157.0,exact
ギルメット,Preston Guilmet,MLB,pitcher,543258,0,35.0,exact
クック,Ryan Cook,MLB,pitcher,475857,0,224.0,exact
クライン,Phil Klein,MLB,pitcher,607309,2,55.2,exact
クラーク,Matt Clark,MLB,hitter,518558,31,,exact
クリスキー,Brooks Kriske,MLB,pitcher,621139,0,39.2,exact
クルーズ,Luis Cruz,AAA,hitter,606133,,,exact
クロッタ,Michael Crotta,MLB,pitcher,453273,0,10.2,exact
クロン,Kevin Cron,MLB,hitter,605196,98,,exact
クロール,Ian Krol,MLB,pitcher,571871,3,208.2,exact
グスマン,Jesus Guzman,MLB,hitter,461882,1114,,exact
グラシアル,Yurisbel Gracial,Cuba,hitter,,,,skip
グリフィン,Foster Griffin,MLB,pitcher,656492,,8.0,exact
グリーン,Rodger Green,AAA,hitter,643338,5,492.2,likely
グリーン,A.J. Griffin,MLB,hitter,456167,13,478.2,exact
ケイ,Anthony Kay,MLB,pitcher,641743,0,85.1,exact
ケラー,Kyle Keller,MLB,pitcher,664918,0,46.1,exact
ゲラ,Javier Guerra,MLB,pitcher,642770,19,63.0,likely
ゲレーロ,Alex Guerrero,MLB,hitter,648717,243,,exact
コットン,Jharel Cotton,MLB,pitcher,605194,2,232.0,exact
コラス,Oscar Colás,Cuba,hitter,,,,skip
コラレス,Josh Corrales,Independent,pitcher,,,,skip
コルデロ,Remy Moise Cordero,Independent,hitter,,,,skip
コルデロ,Franchy Cordero,MLB,hitter,614173,797,,exact
コルニエル,Robert Corniel,MiLB,pitcher,642522,,,exact
コーク,Phil Coke,MLB,pitcher,457435,3,421.0,exact
コーディエ,Erik Cordier,MLB,pitcher,449170,1,18.1,exact
コール,A.J. Cole,MLB,pitcher,595918,30,205.1,exact
ゴメス,Mauro Gomez,AAA,hitter,450855,111,,exact
ゴンサレス,Luis González,AAA,pitcher,670768,363,6.1,exact
ゴンザレス,Marwin González,MLB,hitter,503556,3882,1.1,exact
ゴームズ,Jonny Gomes,MLB,hitter,430404,4009,1.0,exact
サイスニード,Cy Sneed,MLB,pitcher,605482,,38.2,exact
サターホワイト,Cody Satterwhite,MLB,pitcher,489292,,,exact
サファテ,Dennis Sarfate,AAA,pitcher,430610,0,119.1,exact
サモンズ,Bryan Sammons,MLB,pitcher,676614,,27.1,exact
サンズ,Jerry Sands,KBO,hitter,,,,skip
サンタナ,Juan Daniel Santana,MiLB,hitter,,,,ambiguous
サンタナ,Domingo Santana,MLB,hitter,570267,1919,,exact
サンチェス,Angel Sánchez,KBO,pitcher,,,,skip
サンティアゴ,Mario Santiago,AAA,pitcher,489289,,,exact
サントス,Roel Santos,Cuba,hitter,,,,skip
ザガースキー,Mike Zagurski,MLB,pitcher,489448,0,76.1,exact
ザバラ,Aneurys Zabala,AAA,pitcher,656008,,2.2,exact
シアーホルツ,Nate Schierholtz,MLB,hitter,435625,2275,,exact
シェッパーズ,Tanner Scheppers,MLB,pitcher,489294,0,183.0,exact
シエラ,Moisés Sierra,Independent,hitter,,,,skip
シャイナー,Jake Scheiner,AAA,hitter,676595,,,exact
シャッケルフォード,Kevin Shackelford,MLB,pitcher,594992,4,38.2,exact
シュウィンデル,Frank Schwindel,MLB,hitter,643524,566,3.0,exact
シュリッター,Brian Schlitter,MLB,pitcher,489295,1,81.1,exact
シューメーカー,Matt Shoemaker,MLB,pitcher,533167,8,662.2,exact
シリアコ,Audy Ciriaco,Independent,hitter,,,,skip
ジェフン,Ha Jae-hoon,Independent,hitter,,,,skip
ジェンセン,Kyle Jensen,MLB,hitter,571812,34,,exact
ジャクソン,Jay Jackson,MLB,pitcher,543351,3,113.2,exact
ジャクソン,Andre Jackson,MLB,pitcher,656578,4,82.2,exact
ジャンセン・ウィティ,Jantzen Witte,AAA,hitter,642220,,,exact
ジョンソン,Kris Johnson,AAA,pitcher,453241,4,23.2,exact
ジョンソン,Pierce Johnson,MLB,pitcher,572955,1,315.2,exact
ジョーダン,Jordan Norberto,MLB,pitcher,467099,0,78.2,exact
ジョーダン,Taylor Jordan,MLB,pitcher,518863,32,94.1,exact
ジョーンズ,Adam Jones,MLB,hitter,430945,7516,,exact
ジー,Dillon Gee,MLB,pitcher,518716,233,853.2,exact
スアレス,Robert Suarez,Independent,pitcher,,,,skip
スアレス,Albert Suárez,MLB,pitcher,544150,26,261.0,exact
スコット,Tayler Scott,MLB,pitcher,605463,0,142.0,exact
スタンリッジ,Jason Standridge,AAA,pitcher,285075,1,127.1,exact
スチュワート・ジュニア,Carter Stewart Jr.,Amateur,pitcher,,,,skip
スティーブンソン,Andrew Stevenson,MLB,hitter,664057,489,,exact
スパンジェンバーグ,Cory Spangenberg,MLB,hitter,605486,1380,2.0,exact
スパークマン,Glenn Sparkman,MLB,pitcher,642098,2,180.1,exact
スミス,Burch Smith,MLB,pitcher,572143,11,247.1,exact
スモーク,Justin Smoak,MLB,hitter,475253,4750,,exact
セデーニョ,Leandro Cedeño,AAA,hitter,660681,,,exact
セプティモ,Leyson Séptimo,Independent,pitcher,,,,skip
セペダ,Frederich Cepeda,Cuba,hitter,,,,skip
セラテリ,Anthony Seratelli,AAA,hitter,520548,,,exact
ソト,Neftali Soto,MLB,hitter,519304,44,,exact
ソラーテ,Yangervis Solarte,MLB,hitter,500208,2645,,exact
ソリス,Sammy Solís,MLB,pitcher,519301,5,127.2,exact
タバーレス,Yohan Tavarez,Independent,pitcher,,,,skip
ターリー,Nik Turley,MLB,pitcher,543867,2,39.1,exact
ダイクストラ,James Dykstra,Independent,pitcher,,,,skip
ダウンズ,Jeter Downs,AAA,hitter,669023,50,,exact
ダフィー,Matt Duffy,MLB,hitter,592274,12,,exact
ダーモディ,Matt Dermody,MLB,pitcher,571616,0,31.1,exact
チェイビス,Michael Chavis,AAA,hitter,656308,1186,,exact
チェン・ウェイン,Chen Wei-Yin,MLB,pitcher,612672,111,1064.2,exact
チェン・グァンユウ,Chen Kuan-Yu,Amateur,pitcher,,,,skip
ティノコ,Jesús Tinoco,MLB,pitcher,622786,6,126.2,exact
テームズ,Eric Thames,MLB,hitter,519346,2112,,exact
ディアス,Yofrec Diaz,Amateur,hitter,,,,skip
ディカーソン,Alex Dickerson,Independent,hitter,,,,skip
ディクソン,Brandon Dickson,AAA,pitcher,505447,5,16.2,exact
ディプラン,Nattino Diplan,AAA,pitcher,642651,,,exact
デイビーズ,Kyle Davies,MLB,pitcher,434678,90,770.1,exact
デスパイネ,Alfredo Despaigne,Independent,hitter,,,,skip
デニング,Mitchell Dening,Independent,hitter,,,,skip
デビッドソン,Matt Davidson,MLB,hitter,571602,1112,6.1,exact
デュプランティエ,Jon Duplantier,AAA,pitcher,641541,11,49.2,exact
デラバー,Steve Delabar,MLB,pitcher,447755,0,194.2,exact
デラロサ,Rubby De La Rosa,MLB,pitcher,523989,103,421.1,exact
デービス,J.D. Davis,MLB,hitter,605204,2151,2.2,exact
トンキン,Michael Tonkin,MLB,pitcher,543859,2,329.2,exact
トーマス,Cody Thomas,AAA,hitter,642137,78,,exact
ドミンゲス,Matt Dominguez,MLB,hitter,518625,1369,,exact
ドミンゲス,Seranthony Dominguez,MLB,pitcher,622554,3,306.0,exact
ドリス,Rafael Dolis,MLB,pitcher,503569,0,100.1,exact
ドレイク,Yadir Drake,Independent,hitter,,,,skip
ナニータ,Ricardo Nanita,Independent,hitter,,,,skip
ナバーロ,Efren Navarro,MLB,hitter,519068,355,,exact
ニックス,Jacob Nix,MLB,pitcher,656798,16,42.1,exact
ニール,Zach Neal,MLB,pitcher,594943,2,112.2,exact
ヌニエス,Renato Núñez,MLB,hitter,600524,1162,,exact
ネイラー,Drew Naylor,Independent,pitcher,,,,skip
ネバラスカス,Dovydas Neverauskas,MLB,pitcher,596720,0,80.2,exact
ネビン,Tyler Nevin,MLB,hitter,663527,591,,exact
ネルソン,Nick Nelson,MLB,pitcher,656793,,114.1,exact
ノイジー,Sheldon Neuse,MLB,hitter,641914,420,3.2,exact
ノリン,Sean Nolin,MLB,pitcher,543594,6,61.0,exact
ハイネマン,Scott Heineman,MLB,hitter,595981,173,,exact
ハッチ,Thomas Hatch,MLB,pitcher,641672,,103.0,exact
ハフ,David Huff,KBO,pitcher,,,,skip
ハフマン,Chad Huffman,MLB,hitter,502151,36,,exact
ハワード,Spencer Howard,MLB,pitcher,675921,7,144.0,exact
ハンコック,Justin Hancock,MLB,pitcher,606995,2,12.1,exact
ハンソン,Alen Hanson,Independent,hitter,,,,skip
ハートウィグ,Grant Hartwig,MLB,pitcher,701643,,42.0,exact
ハーマン,Frank Herrmann,MLB,pitcher,497807,2,135.1,exact
ハーミッダ,Jeremy Hermida,AAA,hitter,435181,2261,,exact
ハーン,Taylor Hearn,MLB,pitcher,621368,0,237.0,exact
バウアー,Trevor Bauer,MLB,pitcher,545333,83,1297.2,exact
バウマン,Mike Baumann,MLB,pitcher,657508,0,167.1,exact
バスケス,Esmerling Vasquez,CPBL,pitcher,,,,skip
バティスタ,Xavier Batista,AAA,hitter,570234,,,exact
バニュエロス,Manny Bañuelos,MLB,pitcher,544365,7,118.0,exact
バリオス,Edison Barrios,Independent,pitcher,,,,skip
バリントン,Bryan Bullington,AAA,pitcher,425860,4,81.2,exact
バルガス,Kennys Vargas,MLB,pitcher,573627,859,,exact
バルディリス,Aarom Baldiris,MiLB,hitter,430672,,,exact
バルデス,Raul Valdes,AAA,pitcher,447744,18,140.1,exact
バルドナード,Alberto Baldonado,AAA,pitcher,593604,0,10.2,exact
バレラ,Breyvic Valera,MLB,hitter,591971,235,,exact
バレンティン,Wladimir Balentien,MLB,hitter,434605,559,,exact
バンデンハーク,Rick van den Hurk,KBO,pitcher,,,,skip
バンヘッケン,Andy Van Hekken,KBO,pitcher,,,,skip
バース,Anthony Bass,MLB,pitcher,542914,39,524.2,exact
バード,Kyle Bird,MLB,pitcher,613317,0,12.2,exact
バーネット,Tony Barnette,AAA,pitcher,501817,0,145.1,exact
バーヘイゲン,Drew VerHagen,MLB,pitcher,572403,1,281.2,exact
バーベイト,Johnny Barbato,MLB,pitcher,592127,1,48.1,exact
パットン,Spencer Patton,MLB,pitcher,607359,2,116.1,exact
パラデス,Jimmy Paredes,MLB,hitter,517370,1012,,exact
パーラ,Gerardo Parra,MLB,hitter,467827,5290,0.0,exact
ヒギンス,Tyler Higgins,AAA,pitcher,572371,,,exact
ヒース,Deunte Heath,AAA,pitcher,445177,,9.2,exact
ビエイラ,Thyago Vieira,MLB,pitcher,600986,0,66.2,exact
ビシエド,Dayan Viciedo,MLB,hitter,493364,1798,,exact
ビドル,Jesse Biddle,MLB,pitcher,592145,2,103.0,exact
ビヤヌエバ,Christian Villanueva,MLB,hitter,570799,416,,exact
ビロウ,Duane Below,MLB,pitcher,502102,1,78.0,exact
ビーズリー,Jeremy Beasley,MLB,pitcher,676886,,24.2,exact
ビーディ,Tyler Beede,MLB,pitcher,595881,45,201.0,exact
ピレラ,Jose Pirela,MLB,hitter,517369,985,,exact
ピーターズ,Dillon Peters,MLB,pitcher,596071,28,198.2,exact
ピープルズ,Michael Peoples,AAA,pitcher,621191,,,exact
ファイフ,Stephen Fife,MLB,pitcher,543155,29,91.0,exact
ファビアン,Sandro Fabian,AAA,hitter,660758,5,,exact
フェリス,Daritzon Feliz,MiLB,pitcher,674379,,,exact
フェルナンド,Luciano Fernando,Independent,hitter,,,,skip
フォード,Mike Ford,MLB,hitter,645801,781,5.0,exact
フランコ,Maikel Franco,MLB,hitter,596748,3573,,exact
フランシスコ,Juan Francisco,MLB,hitter,464433,1091,,exact
フランスア,Geronimo Franzua,Independent,pitcher,,,,skip
フルプ,Marek Chlup,Independent,hitter,,,,skip
フローレス,Jose Flores,Independent,pitcher,,,,skip
ブキャナン,David Buchanan,MLB,pitcher,571527,62,195.2,exact
ブセニッツ,Alan Busenitz,MLB,pitcher,641427,0,68.0,exact
ブラッシュ,Jabari Blash,MLB,hitter,518466,324,,exact
ブランコ,Tony Blanco,MiLB,hitter,433592,65,,exact
ブリガム,Jake Brigham,MLB,pitcher,502010,2,16.2,exact
ブリガム,Jacob Brigham,MLB,pitcher,502010,2,16.2,likely
ブリンソン,Lewis Brinson,MLB,hitter,621446,1150,,exact
ブルワー,Colten Brewer,MLB,pitcher,605155,0,120.0,exact
ブレイシア,Ryan Brasier,MLB,pitcher,518489,0,311.1,exact
ブロッソー,Mike Brosseau,MLB,hitter,670712,647,9.2,exact
ブロードウェイ,Mike Broadway,MLB,pitcher,458678,1,22.2,exact
ヘイグ,Matt Hague,MLB,hitter,518755,91,,exact
ヘルウェグ,Johnny Hellweg,MLB,pitcher,518782,11,30.2,exact
ヘルナンデス,Darwinzon Hernandez,AAA,hitter,650382,0,85.1,exact
ヘルナンデス,Elier Hernández,MLB,hitter,609274,35,,exact
ヘルナンデス,Ramon Hernandez,,hitter,,,,skip
ヘルマン,Esteban German,MLB,hitter,407397,1170,,exact
ヘルメン,Gonzalez Germen,MLB,pitcher,542674,6,144.0,exact
ヘーゲンズ,Bradin Hagens,MLB,pitcher,543266,0,2.2,exact
ペイトン,Mark Payton,MLB,hitter,592622,69,,exact
ペゲーロ,Carlos Peguero,MLB,hitter,451713,319,,exact
ペトリック,Zach Petrick,AAA,pitcher,623967,,,exact
ペルドモ,Luis Perdomo,MLB,pitcher,606131,112,468.0,exact
ペレス,Nelson Perez,Independent,hitter,,,,skip
ペレス,Luis Perez,,pitcher,,,,skip
ペレス,Felix Perez,Cuba,hitter,,,,skip
ペーニャ,Wily Mo Pena,MLB,hitter,276377,1845,,exact
ペーニャ,Wily Mo Peña,MLB,hitter,276377,1845,,exact
ペーニャ,Ramiro Peña,MLB,hitter,455369,701,,exact
ホーキンス,Courtney Hawkins,Independent,hitter,,,,skip
ボイト,Luke Voit,Independent,hitter,,,,skip
ボグセビック,Brian Bogusevic,MLB,hitter,460131,834,1.0,exact
ボス,Austin Voth,MLB,pitcher,608723,15,360.1,exact
ボスラー,Jason Vosler,AAA,hitter,613564,288,2.0,exact
ボルシンガー,Mike Bolsinger,MLB,pitcher,502211,69,230.2,exact
ボーア,Justin Bour,MLB,hitter,571506,1950,,exact
ボー・タカハシ,Bo Takahashi,KBO,pitcher,,,,skip
ポランコ,Gregory Polanco,MLB,hitter,570256,3220,,exact
ポレダ,Aaron Poreda,AAA,pitcher,519145,0,34.2,exact
ポンセ,Cody Ponce,MLB,pitcher,664074,7,55.1,exact
ポーリーノ,Felipe Paulino,MLB,pitcher,462956,68,403.2,exact
マイコラス,Miles Mikolas,MLB,pitcher,571945,153,1252.1,exact
マエストリ,Alessandro Maestri,Independent,pitcher,,,,skip
マキノン,David MacKinnon,MLB,hitter,676950,57,,exact
マギー,Casey McGehee,MLB,hitter,431171,3086,,exact
マクガフ,Scott McGough,MLB,pitcher,543518,1,125.2,exact
マクブルーム,Ryan McBroom,MLB,hitter,643436,177,,exact
マシソン,Scott Mathieson,MLB,pitcher,455949,9,44.0,exact
マチャド,Andrés Machado,MLB,pitcher,600921,0,148.2,exact
マッカーシー,Joe McCarthy,MLB,hitter,663411,10,,exact
マテオ,Marcos Mateo,MLB,pitcher,456496,4,71.2,exact
マラー,Kyle Muller,MLB,pitcher,666205,13,175.1,exact
マルク,Kento Marc Ishida,Independent,pitcher,,,,skip
マルセリーノ,Hansel Marcelino,MiLB,pitcher,,,,ambiguous
マルテ,Jefry Marte,MLB,hitter,527043,728,,exact
マルテ,Yunior Marte,MLB,pitcher,628708,,113.1,exact
マルティネス,Raidel Martinez,Cuba,pitcher,,,,skip
マルティネス,Nick Martinez,MLB,pitcher,607259,11,940.0,exact
マルモレホス,José Marmolejos,MLB,hitter,592530,237,,exact
マレーロ,Chris Marrero,MLB,hitter,502029,174,,exact
マーティン,,Cuba,hitter,,,,skip
マーティン,Chris Martin,MLB,pitcher,455119,0,389.0,exact
マーティン,Leonys Martín,MLB,hitter,547982,2792,0.2,exact
マートン,Matt Murton,MLB,hitter,444875,1058,,exact
マーフィー,Patrick Murphy,MLB,pitcher,641907,1,39.2,exact
マーベル,James Marvel,MLB,pitcher,621086,4,17.1,exact
ミエセス,Johan Mieses,AAA,hitter,644407,,,exact
ミゲル・メヒア,Miguel Mejia,CPBL,pitcher,,,,skip
ミコライオ,Kam Mickolio,MLB,pitcher,501874,1,31.2,exact
ミッシュ,Pat Misch,KBO,pitcher,,,,skip
ミランダ,Ariel Miranda,MLB,pitcher,664641,6,223.0,exact
ミレッジ,Lastings Milledge,MLB,hitter,451186,1659,,exact
ムリーロ,Agustin Murillo,Independent,hitter,,,,skip
ムーア,Matt Moore,MLB,pitcher,519043,117,1142.2,exact
メッセンジャー,Randy Messenger,MLB,pitcher,434591,8,184.2,exact
メネズ,Conner Menez,MLB,pitcher,669214,3,43.1,exact
メネセス,Joey Meneses,AAA,hitter,608841,1210,,exact
メヒア,Alejandro Mejia,MiLB,hitter,672246,,,exact
メヒア,Francisco Mejia,MLB,hitter,642336,1098,2.0,exact
メルセデス,C.C. Mercedes,AAA,pitcher,606213,346,1.0,likely
メンデス,Yohander Méndez,Independent,pitcher,,,,skip
メンドーサ,Luis Mendoza,MLB,pitcher,434669,9,359.0,exact
モイネロ,Livan Moinelo,Cuba,pitcher,,,,skip
モスコーソ,Guillermo Moscoso,MLB,pitcher,446861,18,222.2,exact
モタ,Israel Mota,Independent,hitter,,,,skip
モヤ,Steven Moya,MLB,hitter,570615,133,,exact
モレノ,Diego Moreno,MLB,pitcher,514981,,16.0,exact
モレル,Brent Morel,MLB,hitter,543569,717,,exact
モレル,Justin Morneau,MLB,hitter,408047,6392,,exact
モンティージャ,Emailin Montilla,Independent,pitcher,,,,skip
モンテス,Coco Montes,AAA,hitter,663796,51,,exact
モンテロ,Elehuris Montero,MLB,hitter,660707,739,,exact
ヤフーレ,Miguel Yajure,MLB,pitcher,664337,3,46.1,exact
ヤン,Jefry Yan,AAA,pitcher,642376,,,exact
ヤングマン,Taylor Jungmann,MLB,pitcher,543380,52,146.2,exact
ライブリー,Mitch Lively,AAA,pitcher,518944,,,exact
ラベロ,Rangel Ravelo,MLB,hitter,592660,84,,exact
ランバート,Peter Lambert,MLB,pitcher,663567,36,243.2,exact
リズ,Radhames Liz,MLB,pitcher,467785,7,133.2,exact
リベロ,Carlos Rivero,MLB,hitter,491640,8,,exact
ルナ,Hector Luna,MLB,hitter,425659,867,,exact
ルブラン,Wade LeBlanc,MLB,pitcher,453281,155,931.1,exact
ルーキ,Josh Lueke,Independent,pitcher,,,,skip
レアード,Brandon Laird,AAA,hitter,477186,138,,exact
レイ,Kenneth Ray,CPBL,pitcher,,,,skip
レイエス,Franmil Reyes,MLB,hitter,614177,2078,1.0,exact
レイノルズ,Matt Reynolds,AAA,hitter,608703,528,1.1,exact
レイビン,Josh Ravin,MLB,pitcher,502051,2,38.2,exact
レグナルト,Kyle Regnault,AAA,pitcher,660064,,,exact
レビーラ,Pedro Revilla,Cuba,hitter,,,,skip
ロサリオ,Rainel Rosario,MiLB,hitter,501731,,,exact
ロジャース,Jason Rogers,MLB,hitter,595386,212,,exact
ロジャース,Miguel Rojas,MLB,hitter,500743,4159,9.0,exact
ロドリゲス,Joely Rodríguez,AAA,pitcher,570257,0,170.2,exact
ロドリゲス,Bryan Rodriguez,MiLB,pitcher,594029,,,exact
ロドリゲス,Aderlin Rodriguez,MiLB,hitter,573669,,,exact
ロドリゲス,Elvin Rodriguez,MLB,pitcher,660730,,52.2,exact
ロハス・ジュニア,Mel Rojas Jr.,KBO,hitter,,,,skip
ロペス,Jose Lopez,MLB,hitter,673111,,2.0,exact
ロマック,Jamie Romak,MLB,hitter,457449,39,,exact
ロマン,Orlando Roman,CPBL,pitcher,,,,skip
ロメロ,Stefen Romero,MLB,hitter,552662,233,,exact
ロンドン,Jorge Rondón,MLB,pitcher,504083,0,19.0,exact
ローチ,Donn Roach,MLB,pitcher,543698,5,39.0,exact
ローレンス,Casey Lawrence,MLB,pitcher,596271,3,141.2,exact
ワカマツ,Luke Wakamatsu,AAA,hitter,663788,,,exact
ワグナー,Neil Wagner,MLB,pitcher,474599,0,53.0,exact
ワゲスパック,Jacob Waguespack,MLB,pitcher,621097,3,105.2,exact
松元ユウイチ,Yuichi Matsumoto,Independent,hitter,,,,skip
菊地ハルン,Harun Kikuchi,Independent,pitcher,,,,skip
金伏ウーゴ,Hugo Kanabushi,Independent,pitcher,,,,skip
Ａ．マルティネス,Ariel Martinez,Cuba,hitter,,,,skip
Ｂ．ロドリゲス,Bryan Rodriguez,AAA,pitcher,594029,,,exact
ＤＪ．ジョンソン,DJ Johnson,MLB,pitcher,597113,0,35.2,exact
ＤＪ．ジョンソン,DJ Johnson,MLB,pitcher,597113,0,35.2,exact
Ｅ．ラミレス,Emmanuel Ramirez,MLB,pitcher,642629,,20.2,exact
Ｋ．ケラー,Kyle Keller,MLB,pitcher,664918,0,46.1,exact
Ｋ．ジョンソン,Kris Johnson,MLB,pitcher,453241,4,23.2,exact
Ｒ．マルティネス,Raidel Martinez,Cuba,pitcher,,,,skip
Ｒ．ロドリゲス,Ronny Rodriguez,MLB,hitter,500135,500,,exact
