year,league,team,pf_5yr,actual_W,actual_RS,actual_RA,pred_RS_base,pred_RA_base,median_wins_base,error_base,covered_base,pred_RS_pf,pred_RA_pf,median_wins_pf,error_pf,covered_pf,wins_delta
2018,CL,DeNA,1.122,67.0,572.0,642.0,576.9,549.0,74.8,7.8,True,543.7,517.5,74.8,7.8,True,0.0
2018,CL,ヤクルト,1.277,75.0,658.0,665.0,555.1,616.0,64.8,-10.2,True,487.5,541.1,64.8,-10.2,True,0.0
2018,CL,中日,0.808,63.0,598.0,654.0,502.2,564.2,63.8,0.8,True,555.6,624.1,63.8,0.8,True,0.0
2018,CL,巨人,0.992,67.0,625.0,575.0,561.4,548.5,73.0,6.0,True,563.6,550.7,73.0,6.0,True,0.0
2018,CL,広島,0.967,82.0,721.0,651.0,636.9,532.9,83.1,1.1,True,647.6,541.8,83.1,1.1,True,0.0
2018,CL,阪神,0.87,62.0,577.0,628.0,559.0,561.5,71.1,9.1,True,597.9,600.6,71.1,9.1,True,0.0
2018,PL,オリックス,0.97,65.0,538.0,565.0,541.3,574.5,67.5,2.5,True,549.6,583.3,67.5,2.5,True,0.0
2018,PL,ソフトバンク,1.009,82.0,685.0,579.0,605.2,534.9,79.8,-2.2,True,602.5,532.5,79.8,-2.2,True,0.0
2018,PL,ロッテ,0.862,59.0,534.0,628.0,502.7,575.1,62.6,3.6,True,539.9,617.7,62.6,3.6,True,0.0
2018,PL,日本ハム,0.968,74.0,589.0,586.0,547.6,570.2,68.7,-5.3,True,556.5,579.5,68.7,-5.3,True,0.0
2018,PL,楽天,1.079,58.0,520.0,583.0,545.8,545.6,71.3,13.3,True,525.0,524.9,71.3,13.3,True,0.0
2018,PL,西武,1.111,88.0,792.0,653.0,595.7,557.0,75.7,-12.3,True,564.4,527.8,75.7,-12.3,True,0.0
2019,CL,DeNA,1.108,71.0,596.0,611.0,622.0,578.4,76.4,5.4,True,590.2,548.7,76.4,5.4,True,0.0
2019,CL,ヤクルト,1.221,59.0,656.0,739.0,600.5,620.5,69.3,10.3,True,540.7,558.8,69.3,10.3,True,0.0
2019,CL,中日,0.825,68.0,563.0,544.0,567.3,617.2,66.0,-2.0,True,621.7,676.4,66.0,-2.0,True,0.0
2019,CL,巨人,1.045,77.0,663.0,573.0,613.7,569.1,76.4,-0.6,True,600.2,556.6,76.4,-0.6,True,0.0
2019,CL,広島,0.966,70.0,591.0,601.0,615.7,561.3,77.5,7.5,True,626.3,571.0,77.5,7.5,True,0.0
2019,CL,阪神,0.875,69.0,538.0,566.0,573.6,581.5,70.7,1.7,True,611.9,620.3,70.7,1.7,True,0.0
2019,PL,オリックス,0.969,61.0,544.0,637.0,542.1,590.8,65.9,4.9,True,550.6,600.1,65.9,4.9,True,0.0
2019,PL,ソフトバンク,1.016,76.0,582.0,564.0,620.6,570.5,76.7,0.7,True,615.6,566.0,76.7,0.7,True,0.0
2019,PL,ロッテ,0.923,69.0,642.0,611.0,546.7,600.8,65.1,-3.9,True,568.6,624.9,65.1,-3.9,True,0.0
2019,PL,日本ハム,0.983,65.0,560.0,586.0,551.5,579.4,68.0,3.0,True,556.2,584.4,68.0,3.0,True,0.0
2019,PL,楽天,1.011,71.0,614.0,578.0,572.5,574.2,71.2,0.2,True,569.4,571.1,71.2,0.2,True,0.0
2019,PL,西武,1.113,80.0,756.0,695.0,621.5,603.8,73.4,-6.6,True,588.2,571.5,73.4,-6.6,True,0.0
2020,CL,DeNA,1.113,56.0,516.0,474.0,572.7,594.9,58.1,2.1,True,542.1,563.1,58.1,2.1,True,0.0
2020,CL,ヤクルト,1.222,41.0,468.0,589.0,593.7,632.7,56.5,15.5,False,534.4,569.5,56.5,15.5,False,0.0
2020,CL,中日,0.831,60.0,429.0,489.0,578.5,614.2,56.6,-3.4,True,631.8,670.9,56.6,-3.4,True,0.0
2020,CL,巨人,1.041,67.0,532.0,421.0,638.8,580.1,65.3,-1.7,True,626.0,568.4,65.3,-1.7,True,0.0
2020,CL,広島,0.961,52.0,523.0,529.0,616.8,583.9,62.9,10.9,False,629.1,595.5,62.9,10.9,False,0.0
2020,CL,阪神,0.873,60.0,494.0,460.0,593.2,595.2,59.7,-0.3,True,633.4,635.6,59.7,-0.3,True,0.0
2020,PL,オリックス,0.968,45.0,442.0,502.0,547.7,594.5,55.4,10.4,True,556.6,604.2,55.5,10.5,True,0.1
2020,PL,ソフトバンク,0.998,73.0,531.0,389.0,632.3,583.9,64.3,-8.7,True,632.9,584.4,64.3,-8.7,True,0.0
2020,PL,ロッテ,1.021,60.0,461.0,479.0,562.6,605.6,56.0,-4.0,True,556.7,599.3,56.0,-4.0,True,0.0
2020,PL,日本ハム,0.957,53.0,493.0,528.0,592.3,590.4,60.1,7.1,True,605.3,603.4,60.1,7.1,True,0.0
2020,PL,楽天,1.024,55.0,557.0,522.0,647.4,589.8,65.1,10.1,False,639.8,582.8,65.1,10.1,True,0.0
2020,PL,西武,1.102,58.0,479.0,543.0,614.7,625.5,59.0,1.0,True,584.8,595.1,59.0,1.0,True,0.0
2021,CL,DeNA,1.095,54.0,559.0,624.0,555.0,569.9,69.8,15.8,False,529.8,544.0,69.8,15.8,False,0.0
2021,CL,ヤクルト,1.189,73.0,625.0,531.0,566.3,613.8,66.2,-6.8,True,517.4,560.8,66.2,-6.8,True,0.0
2021,CL,中日,0.839,55.0,405.0,478.0,543.0,564.4,68.8,13.8,False,590.5,613.8,68.8,13.8,False,0.0
2021,CL,巨人,1.098,61.0,552.0,541.0,646.3,551.8,81.9,20.9,False,616.1,526.0,81.9,20.9,False,0.0
2021,CL,広島,0.928,63.0,557.0,589.0,594.1,559.5,75.4,12.4,True,616.3,580.4,75.4,12.4,True,0.0
2021,CL,阪神,0.881,77.0,541.0,508.0,571.5,558.9,72.9,-4.1,True,607.6,594.3,72.9,-4.1,True,0.0
2021,PL,オリックス,0.961,70.0,551.0,500.0,551.4,567.6,69.6,-0.4,True,562.3,578.9,69.6,-0.4,True,0.0
2021,PL,ソフトバンク,0.961,60.0,564.0,493.0,577.1,544.1,75.2,15.2,False,588.6,554.9,75.2,15.2,False,0.0
2021,PL,ロッテ,1.09,67.0,584.0,570.0,548.1,577.6,68.2,1.2,True,524.5,552.8,68.2,1.2,True,0.0
2021,PL,日本ハム,0.964,55.0,454.0,515.0,556.4,571.9,69.9,14.9,False,566.6,582.4,69.9,14.9,False,0.0
2021,PL,楽天,0.982,66.0,532.0,507.0,586.1,587.9,71.2,5.2,True,591.4,593.3,71.2,5.2,True,0.0
2021,PL,西武,1.102,55.0,521.0,589.0,584.4,612.1,68.3,13.3,False,556.0,582.4,68.3,13.3,False,0.0
2022,CL,DeNA,1.097,73.0,497.0,534.0,582.5,561.5,73.9,0.9,True,555.5,535.6,73.9,0.9,True,0.0
2022,CL,ヤクルト,1.13,80.0,619.0,566.0,585.0,573.9,72.9,-7.1,True,549.3,538.8,73.0,-7.0,True,0.1
2022,CL,中日,0.839,66.0,414.0,495.0,496.2,525.7,67.5,1.5,True,539.6,571.7,67.5,1.5,True,0.0
2022,CL,巨人,1.1,68.0,548.0,589.0,604.4,544.1,78.4,10.4,True,575.6,518.2,78.4,10.4,True,0.0
2022,CL,広島,0.939,66.0,552.0,544.0,546.1,543.2,71.9,5.9,True,563.3,560.3,71.9,5.9,True,0.0
2022,CL,阪神,0.901,68.0,489.0,428.0,543.3,521.8,74.3,6.3,True,571.6,549.0,74.3,6.3,True,0.0
2022,PL,オリックス,0.933,76.0,490.0,458.0,533.9,527.9,72.1,-3.9,True,552.4,546.2,72.1,-3.9,True,0.0
2022,PL,ソフトバンク,0.985,76.0,555.0,471.0,524.3,537.8,69.8,-6.2,True,528.3,541.9,69.8,-6.2,True,0.0
2022,PL,ロッテ,1.072,69.0,501.0,536.0,533.1,563.3,67.8,-1.2,True,514.6,543.7,67.8,-1.2,True,0.0
2022,PL,日本ハム,0.967,59.0,463.0,534.0,503.6,528.9,68.2,9.2,True,512.1,537.8,68.2,9.2,True,0.0
2022,PL,楽天,0.974,69.0,533.0,522.0,578.0,564.2,73.0,4.0,True,585.6,571.6,73.0,4.0,True,0.0
2022,PL,西武,1.098,72.0,464.0,448.0,527.9,566.0,67.0,-5.0,True,503.2,539.6,67.0,-5.0,True,0.0
2023,CL,DeNA,1.076,74.0,520.0,496.0,549.7,524.6,74.6,0.6,True,529.6,505.4,74.6,0.6,True,0.0
2023,CL,ヤクルト,1.132,57.0,534.0,567.0,588.8,534.3,77.9,20.9,False,552.4,501.3,78.0,21.0,False,0.1
2023,CL,中日,0.844,56.0,390.0,498.0,476.1,508.3,67.2,11.2,True,516.4,551.3,67.2,11.2,True,0.0
2023,CL,巨人,1.067,71.0,523.0,507.0,558.6,506.8,78.2,7.2,True,540.4,490.3,78.2,7.2,True,0.0
2023,CL,広島,0.954,74.0,493.0,508.0,516.9,535.3,69.2,-4.8,True,529.0,547.9,69.2,-4.8,True,0.0
2023,CL,阪神,0.949,85.0,555.0,424.0,501.1,486.1,73.6,-11.4,True,514.2,498.8,73.6,-11.4,True,0.0
2023,PL,オリックス,0.954,86.0,508.0,428.0,490.9,481.1,72.9,-13.1,True,502.5,492.4,72.9,-13.1,True,0.0
2023,PL,ソフトバンク,1.005,71.0,536.0,507.0,533.3,506.9,74.9,3.9,True,532.0,505.7,74.9,3.9,True,0.0
2023,PL,ロッテ,1.081,70.0,505.0,524.0,499.9,530.8,67.4,-2.6,True,480.4,510.1,67.4,-2.6,True,0.0
2023,PL,日本ハム,0.969,60.0,464.0,496.0,463.0,507.8,65.4,5.4,True,470.3,515.8,65.4,5.4,True,0.0
2023,PL,楽天,0.939,70.0,513.0,556.0,531.9,535.7,71.1,1.1,True,548.6,552.5,71.1,1.1,True,0.0
2023,PL,西武,1.023,65.0,435.0,465.0,454.8,507.3,64.6,-0.4,True,449.6,501.5,64.6,-0.4,True,0.0
2024,CL,DeNA,1.094,71.0,522.0,503.0,526.8,527.7,71.8,0.8,True,503.1,504.0,71.9,0.9,True,0.1
2024,CL,ヤクルト,1.153,62.0,506.0,556.0,576.6,544.8,75.3,13.3,True,535.6,506.1,75.3,13.3,True,0.0
2024,CL,中日,0.827,60.0,373.0,478.0,474.6,508.4,67.0,7.0,True,519.5,556.5,67.0,7.0,True,0.0
2024,CL,巨人,1.008,77.0,462.0,381.0,543.4,505.6,76.1,-0.9,True,541.2,503.6,76.1,-0.9,True,0.0
2024,CL,広島,0.973,68.0,415.0,419.0,483.8,527.6,65.9,-2.1,True,490.4,534.8,65.9,-2.1,True,0.0
2024,CL,阪神,0.948,74.0,485.0,420.0,525.7,485.4,76.5,2.5,True,539.7,498.3,76.6,2.6,True,0.1
2024,PL,オリックス,0.949,63.0,402.0,448.0,535.9,483.7,78.3,15.3,False,550.0,496.3,78.3,15.3,False,0.0
2024,PL,ソフトバンク,0.996,91.0,607.0,390.0,548.9,516.5,75.6,-15.4,False,550.0,517.5,75.6,-15.4,False,0.0
2024,PL,ロッテ,1.127,71.0,493.0,495.0,520.9,534.1,69.8,-1.2,True,489.8,502.2,69.8,-1.2,True,0.0
2024,PL,日本ハム,1.089,75.0,532.0,485.0,495.4,514.6,69.0,-6.0,True,474.3,492.7,69.0,-6.0,True,0.0
2024,PL,楽天,0.937,67.0,492.0,579.0,515.7,539.0,68.7,1.7,True,532.5,556.5,68.7,1.7,True,0.0
2024,PL,西武,0.986,49.0,350.0,485.0,434.3,494.8,63.1,14.1,True,437.4,498.3,63.1,14.1,True,0.0
2025,CL,DeNA,1.102,71.0,510.0,456.0,525.7,508.0,73.5,2.5,True,500.2,483.4,73.5,2.5,True,0.0
2025,CL,ヤクルト,1.129,57.0,443.0,564.0,539.3,532.9,72.4,15.4,False,506.6,500.6,72.4,15.4,False,0.0
2025,CL,中日,0.844,63.0,403.0,463.0,476.2,493.2,69.2,6.2,True,516.5,534.9,69.2,6.2,True,0.0
2025,CL,巨人,0.981,70.0,463.0,461.0,508.9,482.4,75.0,5.0,True,513.8,487.0,75.0,5.0,True,0.0
2025,CL,広島,0.996,59.0,441.0,497.0,442.5,487.4,65.1,6.1,True,443.4,488.4,65.1,6.1,True,0.0
2025,CL,阪神,0.942,85.0,496.0,352.0,512.6,454.0,79.3,-5.7,True,527.9,467.6,79.3,-5.7,True,0.0
2025,PL,オリックス,0.943,74.0,502.0,519.0,486.3,468.7,73.8,-0.2,True,500.6,482.4,73.8,-0.2,True,0.0
2025,PL,ソフトバンク,1.007,87.0,551.0,389.0,536.6,477.8,79.3,-7.7,True,534.8,476.1,79.3,-7.7,True,0.0
2025,PL,ロッテ,1.097,56.0,441.0,553.0,482.9,526.5,65.7,9.7,True,460.6,502.1,65.7,9.7,True,0.0
2025,PL,日本ハム,1.147,83.0,548.0,409.0,510.3,495.9,73.4,-9.6,True,475.4,461.9,73.4,-9.6,True,0.0
2025,PL,楽天,0.908,67.0,446.0,526.0,471.8,516.4,65.6,-1.4,True,494.5,541.3,65.6,-1.4,True,0.0
2025,PL,西武,0.962,63.0,410.0,465.0,420.2,470.2,64.3,1.3,True,428.4,479.3,64.3,1.3,True,0.0
