No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team
0,ゲラ,投手,1995/09/25,29歳,1年,183cm,86kg,不明,右左,パナマ,"14,700万円",阪神
0,木浪　聖也,内野手,1994/06/15,30歳,6年,179cm,83kg,O型,右左,青森,"7,100万円",阪神
1,森下　翔太,外野手,2000/08/14,24歳,2年,182cm,89kg,O型,右右,神奈川,"3,800万円",阪神
2,梅野　隆太郎,捕手,1991/06/17,33歳,11年,173cm,79kg,A型,右右,福岡,"16,000万円",阪神
3,大山　悠輔,内野手,1994/12/19,30歳,8年,181cm,94kg,O型,右右,茨城,"28,000万円",阪神
4,熊谷　敬宥,内野手,1995/11/10,29歳,7年,175cm,68kg,A型,右右,宮城,"1,750万円",阪神
5,近本　光司,外野手,1994/11/09,30歳,6年,171cm,69kg,B型,左左,兵庫,"32,000万円",阪神
7,ノイジー,外野手,1994/12/10,30歳,2年,183cm,100kg,不明,右右,アメリカ,"16,170万円",阪神
8,佐藤　輝明,内野手,1999/03/13,25歳,4年,187cm,96kg,B型,右左,兵庫,"15,000万円",阪神
12,坂本　誠志郎,捕手,1993/11/10,31歳,9年,176cm,80kg,O型,右右,兵庫,"7,000万円",阪神
13,岩崎　優,投手,1991/06/19,33歳,11年,185cm,91kg,B型,左左,静岡,"20,000万円",阪神
14,岩貞　祐太,投手,1991/09/05,33歳,11年,183cm,87kg,A型,左左,熊本,"10,000万円",阪神
15,西　純矢,投手,2001/09/13,23歳,5年,184cm,94kg,O型,右右,広島,"3,800万円",阪神
16,西　勇輝,投手,1990/11/10,34歳,16年,181cm,82kg,B型,右右,三重,"30,000万円",阪神
17,青柳　晃洋,投手,1993/12/11,31歳,9年,183cm,83kg,B型,右右,神奈川,"21,000万円",阪神
19,下村　海翔,投手,2002/03/27,22歳,1年,174cm,73kg,A型,右右,兵庫,"1,600万円",阪神
20,森木　大智,投手,2003/04/17,21歳,3年,184cm,93kg,O型,右右,高知,"1,100万円",阪神
21,秋山　拓巳,投手,1991/04/26,33歳,15年,188cm,101kg,A型,右左,香川,"4,400万円",阪神
25,渡邉　諒,内野手,1995/04/30,29歳,11年,178cm,82kg,B型,右右,茨城,"3,750万円",阪神
26,椎葉　剛,投手,2002/03/18,22歳,1年,182cm,92kg,A型,右右,大阪,"1,000万円",阪神
27,伊藤　将司,投手,1996/05/08,28歳,4年,178cm,87kg,AB型,左左,千葉,"16,000万円",阪神
28,鈴木　勇斗,投手,2000/03/17,24歳,3年,174cm,86kg,A型,左左,鹿児島,"1,000万円",阪神
29,髙橋　遥人,投手,1995/11/07,29歳,7年,181cm,79kg,A型,左左,静岡,"1,850万円",阪神
30,門別　啓人,投手,2004/07/10,20歳,2年,183cm,86kg,A型,左左,北海道,800万円,阪神
32,井上　広大,外野手,2001/08/12,23歳,5年,189cm,100kg,B型,右右,大阪,840万円,阪神
33,糸原　健斗,内野手,1992/11/11,32歳,8年,175cm,78kg,O型,右左,島根,"7,000万円",阪神
34,漆原　大晟,投手,1996/09/10,28歳,6年,182cm,85kg,B型,右左,新潟,"1,450万円",阪神
35,才木　浩人,投手,1998/11/07,26歳,8年,189cm,88kg,A型,右右,兵庫,"5,000万円",阪神
36,浜地　真澄,投手,1998/05/25,26歳,8年,185cm,88kg,O型,右右,福岡,"3,000万円",阪神
37,及川　雅貴,投手,2001/04/18,23歳,5年,184cm,81kg,O型,左左,千葉,"3,200万円",阪神
38,小幡　竜平,内野手,2000/09/21,24歳,6年,184cm,76kg,B型,右左,大分,"2,100万円",阪神
39,榮枝　裕貴,捕手,1998/05/16,26歳,4年,180cm,85kg,A型,右右,高知,800万円,阪神
40,井坪　陽生,外野手,2005/03/17,19歳,2年,177cm,88kg,A型,右右,東京,600万円,阪神
41,村上　頌樹,投手,1998/06/25,26歳,4年,175cm,82kg,A型,右左,兵庫,"6,700万円",阪神
43,髙濱　祐仁,外野手,1996/08/08,28歳,10年,185cm,88kg,B型,右右,佐賀,"1,500万円",阪神
44,戸井　零士,内野手,2005/01/18,19歳,2年,181cm,78kg,A型,右右,大阪,500万円,阪神
45,遠藤　成,内野手,2001/09/19,23歳,5年,178cm,85kg,A型,右左,秋田,500万円,阪神
46,島本　浩也,投手,1993/02/14,31歳,14年,176cm,71kg,B型,左左,奈良,"4,800万円",阪神
47,桐敷　拓馬,投手,1999/06/20,25歳,3年,179cm,94kg,O型,左左,埼玉,"3,300万円",阪神
48,茨木　秀俊,投手,2004/06/08,20歳,2年,182cm,87kg,A型,右右,北海道,500万円,阪神
49,大竹　耕太郎,投手,1995/06/29,29歳,7年,184cm,87kg,A型,左左,熊本,"6,700万円",阪神
50,富田　蓮,投手,2001/09/06,23歳,2年,174cm,76kg,B型,左左,岐阜,950万円,阪神
51,中野　拓夢,内野手,1996/06/28,28歳,4年,171cm,67kg,A型,右左,山形,"15,000万円",阪神
52,山田　脩也,内野手,2005/08/20,19歳,1年,177cm,71kg,A型,右右,宮城,600万円,阪神
53,島田　海吏,外野手,1996/02/06,28歳,7年,176cm,71kg,AB型,右左,熊本,"3,000万円",阪神
54,加治屋　蓮,投手,1991/11/25,33歳,11年,185cm,90kg,B型,右右,宮崎,"6,000万円",阪神
55,ミエセス,外野手,1995/07/13,29歳,2年,185cm,119kg,不明,右右,ドミニカ共和国,"7,350万円",阪神
56,百﨑　蒼生,内野手,2005/09/11,19歳,1年,178cm,77kg,B型,右右,熊本,500万円,阪神
57,長坂　拳弥,捕手,1994/04/28,30歳,8年,173cm,80kg,B型,右右,群馬,"1,200万円",阪神
58,前川　右京,外野手,2003/05/18,21歳,3年,176cm,83kg,O型,左左,三重,850万円,阪神
59,藤田　健斗,捕手,2001/10/18,23歳,5年,173cm,80kg,A型,右右,滋賀,500万円,阪神
60,小野寺　暖,外野手,1998/03/17,26歳,5年,183cm,83kg,A型,右右,奈良,"1,700万円",阪神
61,豊田　寛,外野手,1997/04/28,27歳,3年,178cm,88kg,B型,右右,神奈川,750万円,阪神
62,植田　海,内野手,1996/04/19,28歳,10年,175cm,69kg,O型,右両,滋賀,"1,800万円",阪神
63,石黒　佑弥,投手,2001/06/20,23歳,1年,180cm,83kg,O型,右右,愛知,750万円,阪神
64,岡留　英貴,投手,1999/11/07,25歳,3年,181cm,94kg,O型,右右,沖縄,840万円,阪神
65,湯浅　京己,投手,1999/07/17,25歳,6年,183cm,82kg,O型,右右,三重,"4,700万円",阪神
66,津田　淳哉,投手,2001/08/27,23歳,1年,178cm,83kg,O型,右右,奈良,720万円,阪神
67,髙寺　望夢,内野手,2002/10/17,22歳,4年,178cm,76kg,O型,右左,長野,600万円,阪神
68,中川　勇斗,捕手,2004/01/27,20歳,3年,172cm,75kg,O型,右右,愛知,520万円,阪神
69,石井　大智,投手,1997/07/29,27歳,4年,175cm,80kg,O型,右右,秋田,"4,000万円",阪神
92,川原　陸,投手,2000/12/12,24歳,6年,186cm,89kg,O型,左左,長崎,420万円,阪神
93,岩田　将貴,投手,1998/06/16,26歳,4年,178cm,75kg,B型,左左,福岡,440万円,阪神
94,原口　文仁,内野手,1992/03/03,32歳,15年,182cm,95kg,AB型,右右,埼玉,"3,100万円",阪神
95,片山　雄哉,捕手,1994/06/18,30歳,6年,177cm,84kg,B型,右左,愛知,450万円,阪神
97,野口　恭佑,外野手,2000/07/17,24歳,2年,180cm,86kg,A型,右右,長崎,420万円,阪神
98,佐藤　蓮,投手,1998/04/11,26歳,4年,189cm,103kg,A型,右右,静岡,500万円,阪神
99,ビーズリー,投手,1995/11/20,29歳,2年,191cm,109kg,不明,右右,アメリカ,"11,760万円",阪神
122,小川　一平,投手,1997/06/03,27歳,5年,183cm,85kg,A型,右右,神奈川,"1,000万円",阪神
123,松原　快,投手,1999/08/24,25歳,1年,180cm,88kg,O型,右右,富山,300万円,阪神
125,伊藤　稜,投手,1999/11/08,25歳,3年,178cm,79kg,B型,左左,愛知,300万円,阪神
126,福島　圭音,外野手,2001/10/06,23歳,1年,171cm,72kg,O型,右左,埼玉,300万円,阪神
131,ベタンセス,投手,1999/10/17,25歳,1年,183cm,102kg,不明,右右,ドミニカ共和国,300万円,阪神
132,マルティネス,投手,2000/01/10,24歳,1年,190cm,79kg,不明,右右,ドミニカ共和国,300万円,阪神
0,林　琢真,内野手,2000/08/24,24歳,2年,174cm,74kg,A型,右左,愛知,"1,450万円",DeNA
0,大田　泰示,外野手,1990/06/09,34歳,16年,188cm,96kg,O型,右右,広島,"5,000万円",DeNA
1,桑原　将志,外野手,1993/07/21,31歳,13年,174cm,80kg,B型,右右,大阪,"12,000万円",DeNA
2,牧　秀悟,内野手,1998/04/21,26歳,4年,178cm,97kg,O型,右右,長野,"23,000万円",DeNA
3,オースティン,外野手,1991/09/06,33歳,5年,188cm,100kg,不明,右右,アメリカ,"43,500万円",DeNA
4,度会　隆輝,外野手,2002/10/04,22歳,1年,183cm,83kg,A型,右左,千葉,"1,600万円",DeNA
5,松尾　汐恩,捕手,2004/07/06,20歳,2年,178cm,82kg,A型,右右,京都,"1,100万円",DeNA
6,森　敬斗,内野手,2002/01/28,22歳,5年,177cm,80kg,A型,右左,静岡,"1,600万円",DeNA
7,佐野　恵太,外野手,1994/11/28,30歳,8年,178cm,88kg,A型,右左,岡山,"15,500万円",DeNA
8,神里　和毅,外野手,1994/01/17,30歳,7年,179cm,86kg,A型,右左,沖縄,"3,800万円",DeNA
9,大和,内野手,1987/11/05,37歳,19年,177cm,77kg,A型,右右,鹿児島,"7,000万円",DeNA
10,戸柱　恭孝,捕手,1990/04/11,34歳,9年,179cm,90kg,A型,右左,鹿児島,"7,500万円",DeNA
11,東　克樹,投手,1995/11/29,29歳,7年,170cm,80kg,B型,左左,三重,"10,500万円",DeNA
13,伊勢　大夢,投手,1998/03/07,26歳,5年,183cm,94kg,A型,右右,熊本,"11,000万円",DeNA
14,石田　健大,投手,1993/03/01,31歳,10年,180cm,85kg,O型,左左,広島,"8,000万円",DeNA
15,徳山　壮磨,投手,1999/06/06,25歳,3年,183cm,87kg,O型,右右,兵庫,910万円,DeNA
16,大貫　晋一,投手,1994/02/03,30歳,6年,181cm,73kg,AB型,右右,神奈川,"7,700万円",DeNA
17,三嶋　一輝,投手,1990/05/07,34歳,12年,175cm,80kg,A型,右両,福岡,"12,000万円",DeNA
18,小園　健太,投手,2003/04/09,21歳,3年,185cm,90kg,O型,右右,大阪,910万円,DeNA
19,山﨑　康晃,投手,1992/10/02,32歳,10年,179cm,88kg,O型,右右,東京,"30,000万円",DeNA
20,坂本　裕哉,投手,1997/07/28,27歳,5年,180cm,87kg,O型,左左,福岡,"2,000万円",DeNA
22,入江　大生,投手,1998/08/26,26歳,4年,187cm,87kg,O型,右右,栃木,"4,400万円",DeNA
24,吉野　光樹,投手,1998/07/19,26歳,2年,176cm,80kg,O型,右右,熊本,"1,200万円",DeNA
25,筒香　嘉智,外野手,1991/11/26,33歳,11年,185cm,97kg,A型,右左,和歌山,"30,000万円",DeNA
26,濵口　遥大,投手,1995/03/16,29歳,8年,173cm,80kg,B型,左左,佐賀,"5,400万円",DeNA
27,上茶谷　大河,投手,1996/08/31,28歳,6年,182cm,83kg,B型,右右,京都,"5,100万円",DeNA
28,勝又　温史,外野手,2000/05/22,24歳,6年,180cm,83kg,不明,右左,東京,620万円,DeNA
29,伊藤　光,捕手,1989/04/23,35歳,17年,180cm,88kg,B型,右右,愛知,"6,500万円",DeNA
30,三浦　銀二,投手,1999/12/30,25歳,3年,175cm,80kg,A型,右右,福岡,740万円,DeNA
31,柴田　竜拓,内野手,1993/12/16,31歳,9年,167cm,68kg,O型,右左,岡山,"5,200万円",DeNA
32,益子　京右,捕手,2000/12/27,24歳,6年,176cm,86kg,A型,右右,栃木,560万円,DeNA
33,武田　陸玖,外野手,2005/06/06,19歳,1年,173cm,78kg,B型,左左,山形,560万円,DeNA
34,松本　凌人,投手,2001/12/05,23歳,1年,185cm,88kg,AB型,右右,大阪,"1,200万円",DeNA
35,橋本　達弥,投手,2000/07/18,24歳,2年,181cm,84kg,B型,右右,兵庫,780万円,DeNA
36,森下　瑠大,投手,2004/09/19,20歳,2年,180cm,75kg,A型,左左,京都,530万円,DeNA
37,楠本　泰史,外野手,1995/07/07,29歳,7年,180cm,85kg,A型,右左,大阪,"3,700万円",DeNA
38,森　唯斗,投手,1992/01/08,32歳,11年,175cm,91kg,A型,右右,徳島,"5,000万円",DeNA
39,西浦　直亨,内野手,1991/04/11,33歳,11年,178cm,82kg,B型,右右,奈良,"2,600万円",DeNA
40,松本　隆之介,投手,2002/07/31,22歳,4年,188cm,94kg,A型,左左,神奈川,560万円,DeNA
41,佐々木　千隼,投手,1994/06/08,30歳,8年,181cm,83kg,O型,右右,東京,"3,000万円",DeNA
42,ジャクソン,投手,1996/05/01,28歳,1年,190cm,95kg,不明,右右,アメリカ,"14,500万円",DeNA
43,深沢　鳳介,投手,2003/11/05,21歳,3年,177cm,74kg,A型,右右,東京,500万円,DeNA
44,石上　泰輝,内野手,2001/05/18,23歳,1年,172cm,85kg,A型,右左,徳島,850万円,DeNA
45,森原　康平,投手,1991/12/26,33歳,8年,185cm,88kg,AB型,右左,広島,"5,700万円",DeNA
46,石川　達也,投手,1998/04/15,26歳,4年,178cm,75kg,A型,左右,神奈川,"1,600万円",DeNA
48,京山　将弥,投手,1998/07/04,26歳,8年,182cm,77kg,B型,右右,滋賀,"2,050万円",DeNA
49,ウェンデルケン,投手,1993/03/24,31歳,2年,185cm,109kg,不明,右右,アメリカ,"17,500万円",DeNA
50,山本　祐大,捕手,1998/09/11,26歳,7年,180cm,87kg,A型,右右,大阪,"2,300万円",DeNA
51,宮﨑　敏郎,内野手,1988/12/12,36歳,12年,172cm,85kg,B型,右右,佐賀,"20,000万円",DeNA
53,中川　颯,投手,1998/10/10,26歳,4年,184cm,80kg,A型,右左,神奈川,650万円,DeNA
54,石田　裕太郎,投手,2002/01/22,22歳,1年,180cm,74kg,A型,右右,神奈川,780万円,DeNA
55,井上　絢登,内野手,2000/02/23,24歳,1年,178cm,83kg,O型,右左,福岡,780万円,DeNA
56,髙田　琢登,投手,2002/09/18,22歳,4年,178cm,80kg,O型,左左,静岡,510万円,DeNA
57,東妻　純平,捕手,2001/07/03,23歳,5年,174cm,83kg,AB型,右右,和歌山,600万円,DeNA
58,梶原　昂希,外野手,1999/09/19,25歳,3年,189cm,85kg,A型,右左,大分,750万円,DeNA
59,平良　拳太郎,投手,1995/07/12,29歳,11年,180cm,80kg,O型,右右,沖縄,"2,600万円",DeNA
60,知野　直人,内野手,1999/02/16,25歳,6年,182cm,85kg,A型,右右,新潟,"1,100万円",DeNA
61,蝦名　達夫,外野手,1997/09/20,27歳,5年,185cm,88kg,B型,右右,青森,"1,750万円",DeNA
62,ウィック,投手,1992/11/09,32歳,1年,190cm,106kg,不明,右左,カナダ,"11,600万円",DeNA
63,関根　大気,外野手,1995/06/28,29歳,11年,173cm,78kg,A型,左左,愛知,"6,100万円",DeNA
64,中川　虎大,投手,1999/10/02,25歳,7年,178cm,85kg,B型,右右,和歌山,760万円,DeNA
65,宮城　滝太,投手,2000/07/15,24歳,6年,181cm,80kg,A型,右右,沖縄,740万円,DeNA
66,上甲　凌大,捕手,2001/01/29,23歳,2年,184cm,90kg,AB型,右左,愛媛,440万円,DeNA
67,西巻　賢二,内野手,1999/04/22,25歳,7年,167cm,70kg,A型,右右,福島,570万円,DeNA
69,ケイ,投手,1995/03/21,29歳,1年,183cm,102kg,不明,左左,アメリカ,"11,600万円",DeNA
92,堀岡　隼人,投手,1998/09/11,26歳,8年,183cm,87kg,O型,右右,神奈川,670万円,DeNA
93,ディアス,投手,1999/06/10,25歳,5年,191cm,93kg,不明,左左,ベネズエラ,650万円,DeNA
98,京田　陽太,内野手,1994/04/20,30歳,8年,184cm,90kg,O型,右左,石川,"5,000万円",DeNA
99,フォード,内野手,1992/07/04,32歳,1年,183cm,102kg,不明,右左,アメリカ,"8,000万円",DeNA
100,蓮,内野手,2004/07/18,20歳,2年,183cm,86kg,B型,右右,大阪,340万円,DeNA
101,草野　陽斗,投手,2004/06/07,20歳,2年,175cm,87kg,A型,右右,福島,340万円,DeNA
102,清水　麻成,投手,2005/10/06,19歳,1年,186cm,75kg,O型,右右,群馬,340万円,DeNA
103,村川　凪,外野手,1998/06/26,26歳,3年,174cm,65kg,AB型,右左,広島,340万円,DeNA
105,モロン,投手,2000/12/28,24歳,1年,183cm,79kg,不明,右右,ドミニカ共和国,336万円,DeNA
106,渡辺　明貴,投手,2000/01/29,24歳,2年,188cm,105kg,O型,右右,山梨,340万円,DeNA
107,マルセリーノ,投手,2002/06/16,22歳,3年,191cm,82kg,不明,右右,ドミニカ共和国,350万円,DeNA
108,今野　瑠斗,投手,2004/07/13,20歳,2年,182cm,93kg,A型,右右,東京,340万円,DeNA
110,マルティネス,投手,2002/12/30,22歳,1年,198cm,97kg,不明,右右,ドミニカ共和国,336万円,DeNA
116,九鬼　隆平,捕手,1998/09/05,26歳,8年,180cm,76kg,A型,右右,大阪,650万円,DeNA
122,庄司　陽斗,投手,2001/05/31,23歳,1年,184cm,91kg,O型,左左,宮城,340万円,DeNA
125,小笠原　蒼,内野手,2005/10/20,19歳,1年,180cm,92kg,A型,右左,愛知,340万円,DeNA
130,近藤　大雅,捕手,2005/09/18,19歳,1年,174cm,80kg,AB型,右右,兵庫,340万円,DeNA
133,粟飯原　龍之介,内野手,2004/02/22,20歳,3年,180cm,85kg,B型,右左,千葉,610万円,DeNA
144,小深田　大地,内野手,2003/03/25,21歳,4年,176cm,93kg,O型,右左,兵庫,560万円,DeNA
193,高見澤　郁魅,内野手,2006/01/18,18歳,1年,183cm,85kg,A型,右左,埼玉,340万円,DeNA
0,湯浅　大,内野手,2000/01/24,24歳,7年,172cm,73kg,A型,右右,群馬,"1,300万円",巨人
0,増田　大輝,内野手,1993/07/29,31歳,9年,172cm,68kg,A型,右右,徳島,"2,150万円",巨人
1,加藤　廉,内野手,1999/01/12,25歳,4年,181cm,84kg,O型,右左,静岡,420万円,巨人
2,吉川　尚輝,内野手,1995/02/08,29歳,8年,177cm,78kg,A型,右左,岐阜,"9,000万円",巨人
3,鈴木　大和,外野手,1999/04/27,25歳,3年,173cm,73kg,O型,右右,北海道,420万円,巨人
4,村山　源,内野手,2005/06/27,19歳,1年,179cm,63kg,O型,右右,鹿児島,360万円,巨人
5,門脇　誠,内野手,2001/01/24,23歳,2年,171cm,76kg,A型,右左,奈良,"3,100万円",巨人
5,田上　優弥,内野手,2005/06/08,19歳,1年,181cm,82kg,O型,右右,神奈川,360万円,巨人
6,坂本　勇人,内野手,1988/12/14,36歳,18年,186cm,86kg,AB型,右右,兵庫,"60,000万円",巨人
6,坂本　勇人,捕手,2002/04/15,22歳,4年,177cm,84kg,A型,右右,佐賀,370万円,巨人
7,宇都宮　葵星,内野手,2004/06/23,20歳,1年,176cm,66kg,A型,右左,愛媛,400万円,巨人
7,長野　久義,外野手,1984/12/06,40歳,15年,180cm,85kg,O型,右右,佐賀,"4,000万円",巨人
8,丸　佳浩,外野手,1989/04/11,35歳,17年,177cm,94kg,AB型,右左,千葉,"28,000万円",巨人
8,相澤　白虎,内野手,2004/05/28,20歳,2年,178cm,82kg,A型,右右,埼玉,380万円,巨人
9,笹原　操希,外野手,2004/02/09,20歳,3年,180cm,76kg,O型,右右,長野,390万円,巨人
10,大津　綾也,捕手,2003/05/28,21歳,3年,174cm,72kg,AB型,右右,北海道,380万円,巨人
11,笠島　尚樹,投手,2002/12/07,22歳,4年,178cm,82kg,B型,右右,福井,390万円,巨人
12,三浦　克也,投手,2001/04/28,23歳,1年,179cm,80kg,A型,左左,富山,400万円,巨人
12,萩尾　匡也,外野手,2000/12/28,24歳,2年,180cm,85kg,B型,右右,熊本,"1,200万円",巨人
13,ティマ,外野手,2004/09/25,20歳,4年,193cm,86kg,不明,右右,ドミニカ共和国,500万円,巨人
13,梶谷　隆幸,外野手,1988/08/28,36歳,18年,180cm,90kg,A型,右左,島根,"20,000万円",巨人
15,川嵜　陽仁,投手,2003/11/01,21歳,3年,177cm,80kg,A型,右右,愛知,390万円,巨人
15,大勢,投手,1999/06/29,25歳,3年,183cm,90kg,O型,右右,兵庫,"5,600万円",巨人
16,千葉　隆広,投手,2005/05/15,19歳,1年,175cm,77kg,AB型,左左,北海道,360万円,巨人
17,西舘　勇陽,投手,2002/03/11,22歳,1年,185cm,79kg,A型,右右,岩手,"1,600万円",巨人
18,菅野　智之,投手,1989/10/11,35歳,12年,186cm,95kg,A型,右右,神奈川,"40,000万円",巨人
19,山﨑　伊織,投手,1998/10/10,26歳,4年,181cm,81kg,B型,右左,兵庫,"5,100万円",巨人
19,園田　純規,投手,2005/07/07,19歳,1年,183cm,72kg,A型,右右,福岡,360万円,巨人
20,戸郷　翔征,投手,2000/04/04,24歳,6年,187cm,84kg,AB型,右右,宮崎,"18,000万円",巨人
20,戸田　懐生,投手,2000/07/22,24歳,4年,170cm,73kg,A型,右右,愛知,700万円,巨人
21,小沼　健太,投手,1998/06/11,26歳,4年,189cm,86kg,A型,右右,千葉,720万円,巨人
22,亀田　啓太,捕手,1999/04/09,25歳,3年,183cm,94kg,O型,右右,神奈川,410万円,巨人
22,小林　誠司,捕手,1989/06/07,35歳,11年,178cm,86kg,O型,右右,大阪,"3,000万円",巨人
23,田村　朋輝,投手,2004/04/06,20歳,2年,184cm,81kg,A型,右右,東京,380万円,巨人
23,オドーア,外野手,1994/02/03,30歳,1年,180cm,90kg,不明,右左,ベネズエラ,"20,000万円",巨人
23,立岡　宗一郎,外野手,1990/05/18,34歳,16年,181cm,82kg,A型,右左,熊本,"2,200万円",巨人
24,大城　卓三,捕手,1993/02/11,31歳,7年,187cm,90kg,B型,右左,沖縄,"13,000万円",巨人
24,前田　研輝,捕手,1998/12/13,26歳,4年,180cm,90kg,B型,右左,広島,400万円,巨人
25,岡本　和真,内野手,1996/06/30,28歳,10年,186cm,100kg,A型,右右,奈良,"42,000万円",巨人
25,岡本　大翔,内野手,2002/09/12,22歳,4年,190cm,94kg,A型,右右,鳥取,390万円,巨人
26,今村　信貴,投手,1994/03/15,30歳,13年,180cm,90kg,AB型,左左,大阪,"4,200万円",巨人
26,吉村　優聖歩,投手,2004/12/08,20歳,2年,181cm,73kg,B型,左左,熊本,380万円,巨人
27,北村　流音,内野手,2005/02/20,19歳,2年,174cm,78kg,O型,右右,群馬,380万円,巨人
27,岸田　行倫,捕手,1996/10/10,28歳,7年,176cm,88kg,A型,右右,兵庫,"2,150万円",巨人
28,高橋　礼,投手,1995/11/02,29歳,7年,187cm,90kg,O型,右右,千葉,"4,300万円",巨人
28,富田　龍,投手,1999/11/11,25歳,3年,179cm,78kg,O型,左左,香川,430万円,巨人
29,グリフィン,投手,1995/07/27,29歳,2年,190cm,102kg,不明,左左,アメリカ,"20,000万円",巨人
30,山﨑　友輔,投手,1998/05/02,26歳,4年,178cm,80kg,A型,右右,岡山,430万円,巨人
30,近藤　大亮,投手,1991/05/29,33歳,9年,177cm,80kg,O型,右右,大阪,"4,200万円",巨人
31,三塚　琉生,外野手,2004/05/10,20歳,2年,182cm,91kg,AB型,左左,東京,370万円,巨人
31,赤星　優志,投手,1999/07/02,25歳,3年,175cm,82kg,B型,右右,東京,"3,000万円",巨人
