No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team
46,藤平　尚真,投手,1998/09/21,26歳,8年,185cm,85kg,O型,右右,千葉,"1,450万円",楽天
47,藤井　聖,投手,1996/10/03,28歳,4年,176cm,80kg,O型,左左,神奈川,"1,300万円",楽天
48,渡邊　佳明,内野手,1997/01/08,27歳,6年,180cm,79kg,A型,右左,神奈川,"1,400万円",楽天
49,西垣　雅矢,投手,1999/06/21,25歳,3年,184cm,88kg,B型,右左,兵庫,820万円,楽天
50,武藤　敦貴,外野手,2001/06/15,23歳,5年,178cm,73kg,A型,左左,福岡,700万円,楽天
51,小郷　裕哉,外野手,1996/08/03,28歳,6年,178cm,85kg,O型,右左,岡山,"3,100万円",楽天
52,津留﨑　大成,投手,1997/10/10,27歳,5年,177cm,86kg,不明,右右,千葉,860万円,楽天
53,坂井　陽翔,投手,2005/04/05,19歳,1年,186cm,88kg,B型,右右,兵庫,600万円,楽天
54,日當　直喜,投手,2005/07/06,19歳,1年,190cm,105kg,A型,右右,東京,550万円,楽天
55,安田　悠馬,捕手,2000/03/03,24歳,3年,185cm,105kg,B型,右左,兵庫,"1,300万円",楽天
56,鈴木　翔天,投手,1996/08/19,28歳,6年,185cm,82kg,A型,左左,神奈川,"3,200万円",楽天
57,瀧中　瞭太,投手,1994/12/20,30歳,5年,180cm,93kg,A型,右右,滋賀,"2,300万円",楽天
58,辛島　航,投手,1990/10/18,34歳,16年,173cm,72kg,A型,左左,福岡,"8,000万円",楽天
59,泰　勝利,投手,2003/11/11,21歳,3年,172cm,82kg,A型,左右,鹿児島,550万円,楽天
60,ワォーターズ　璃海ジュミル,内野手,2005/10/14,19歳,1年,178cm,76kg,不明,右右,沖縄,550万円,楽天
61,松田　啄磨,投手,2002/02/26,22歳,1年,186cm,74kg,B型,右右,大阪,700万円,楽天
62,西口　直人,投手,1996/11/14,28歳,8年,183cm,83kg,B型,右右,大阪,"3,200万円",楽天
63,入江　大樹,内野手,2002/06/06,22歳,4年,185cm,83kg,A型,右右,大阪,530万円,楽天
64,林　優樹,投手,2001/10/29,23歳,2年,173cm,73kg,O型,左左,京都,800万円,楽天
65,堀内　謙伍,捕手,1997/04/15,27歳,9年,174cm,82kg,A型,右左,静岡,730万円,楽天
66,村林　一輝,内野手,1997/10/06,27歳,9年,180cm,73kg,O型,右右,大阪,"2,700万円",楽天
67,大内　誠弥,投手,2006/03/09,18歳,1年,191cm,77kg,O型,右右,宮城,500万円,楽天
68,青野　拓海,内野手,2005/07/26,19歳,1年,180cm,85kg,O型,右右,富山,500万円,楽天
69,内　星龍,投手,2002/04/24,22歳,4年,190cm,88kg,O型,右左,大阪,"1,900万円",楽天
70,石原　彪,捕手,1999/03/08,25歳,8年,172cm,96kg,A型,右右,京都,500万円,楽天
71,吉川　雄大,投手,1996/12/12,28歳,3年,167cm,80kg,AB型,右右,広島,650万円,楽天
72,宮森　智志,投手,1998/05/28,26歳,3年,193cm,93kg,O型,右右,広島,980万円,楽天
78,辰見　鴻之介,内野手,2000/11/24,24歳,2年,176cm,67kg,B型,右右,福岡,420万円,楽天
79,清宮　虎多朗,投手,2000/05/26,24歳,6年,190cm,84kg,A型,右左,千葉,500万円,楽天
130,古賀　康誠,投手,2004/09/03,20歳,2年,181cm,81kg,A型,左左,福岡,230万円,楽天
131,永田　颯太郎,内野手,2000/10/11,24歳,2年,178cm,85kg,O型,右左,愛知,250万円,楽天
137,江川　侑斗,捕手,2001/06/29,23歳,5年,177cm,81kg,B型,右右,大分,230万円,楽天
138,小峯　新陸,投手,2001/12/01,23歳,5年,189cm,90kg,A型,右左,鹿児島,360万円,楽天
141,澤野　聖悠,内野手,2002/03/09,22歳,5年,184cm,85kg,A型,右左,愛知,230万円,楽天
142,柳澤　大空,外野手,2003/05/31,21歳,3年,182cm,78kg,O型,右右,神奈川,250万円,楽天
144,大河原　翔,外野手,2003/08/17,21歳,3年,183cm,95kg,B型,右右,千葉,230万円,楽天
155,竹下　瑛広,投手,2000/05/20,24歳,2年,185cm,80kg,A型,右右,神奈川,250万円,楽天
0,ヤン,投手,1996/08/17,28歳,1年,190cm,83kg,不明,左左,ドミニカ共和国,"7,500万円",西武
0,児玉　亮涼,内野手,1998/07/10,26歳,2年,166cm,65kg,A型,右右,熊本,"1,300万円",西武
1,栗山　巧,外野手,1983/09/03,41歳,23年,177cm,85kg,O型,右左,兵庫,"10,800万円",西武
2,岡田　雅利,捕手,1989/06/30,35歳,11年,173cm,80kg,B型,右右,奈良,"1,000万円",西武
4,山野辺　翔,内野手,1994/05/24,30歳,6年,170cm,74kg,AB型,右右,東京,970万円,西武
5,外崎　修汰,内野手,1992/12/20,32歳,10年,177cm,82kg,O型,右右,青森,"16,000万円",西武
6,源田　壮亮,内野手,1993/02/16,31歳,8年,179cm,75kg,O型,右左,大分,"30,000万円",西武
7,金子　侑司,外野手,1990/04/24,34歳,12年,179cm,76kg,B型,右両,京都,"7,000万円",西武
8,渡部　健人,内野手,1998/12/26,26歳,4年,176cm,115kg,O型,右右,神奈川,"1,600万円",西武
9,蛭間　拓哉,外野手,2000/09/08,24歳,2年,177cm,87kg,O型,左左,群馬,"2,200万円",西武
10,佐藤　龍世,内野手,1997/01/15,27歳,6年,174cm,85kg,AB型,右右,北海道,"2,200万円",西武
11,上田　大河,投手,2001/11/15,23歳,1年,182cm,86kg,A型,右右,三重,"1,250万円",西武
12,渡邉　勇太朗,投手,2000/09/21,24歳,6年,191cm,95kg,A型,右右,埼玉,820万円,西武
13,髙橋　光成,投手,1997/02/03,27歳,10年,190cm,105kg,B型,右右,群馬,"26,500万円",西武
14,増田　達至,投手,1988/04/23,36歳,12年,180cm,88kg,AB型,右右,兵庫,"24,000万円",西武
15,與座　海人,投手,1995/09/15,29歳,7年,173cm,80kg,O型,右右,沖縄,"3,000万円",西武
16,隅田　知一郎,投手,1999/08/20,25歳,3年,177cm,81kg,O型,左左,長崎,"4,000万円",西武
17,松本　航,投手,1996/11/28,28歳,6年,176cm,90kg,AB型,右右,兵庫,"5,800万円",西武
19,佐藤　隼輔,投手,2000/01/03,24歳,3年,182cm,83kg,B型,左左,宮城,"3,000万円",西武
20,田村　伊知郎,投手,1994/09/19,30歳,8年,173cm,86kg,B型,右左,兵庫,"1,300万円",西武
21,武内　夏暉,投手,2001/07/21,23歳,1年,186cm,90kg,O型,左左,福岡,"1,600万円",西武
22,古賀　悠斗,捕手,1999/09/10,25歳,3年,174cm,86kg,A型,右右,福岡,"2,800万円",西武
23,糸川　亮太,投手,1998/04/30,26歳,1年,170cm,78kg,B型,右右,愛媛,950万円,西武
25,平井　克典,投手,1991/12/20,33歳,8年,180cm,86kg,A型,右右,愛知,"9,000万円",西武
27,炭谷　銀仁朗,捕手,1987/07/19,37歳,19年,181cm,98kg,O型,右右,京都,"3,500万円",西武
29,青山　美夏人,投手,2000/07/19,24歳,2年,183cm,94kg,A型,右右,神奈川,"1,400万円",西武
30,元山　飛優,内野手,1998/12/04,26歳,4年,180cm,79kg,AB型,右左,大阪,"1,100万円",西武
31,平沼　翔太,内野手,1997/08/16,27歳,9年,179cm,80kg,A型,右左,福井,"1,900万円",西武
32,山村　崇嘉,内野手,2002/09/28,22歳,4年,183cm,86kg,O型,右左,東京,800万円,西武
33,古川　雄大,外野手,2004/05/25,20歳,2年,186cm,90kg,O型,右右,大分,750万円,西武
34,甲斐野　央,投手,1996/11/16,28歳,6年,188cm,92kg,A型,右左,兵庫,"4,000万円",西武
35,松原　聖弥,外野手,1995/01/26,29歳,8年,173cm,74kg,O型,右左,大阪,"2,500万円",西武
36,山田　陽翔,投手,2004/05/09,20歳,2年,175cm,82kg,B型,右右,滋賀,700万円,西武
37,柘植　世那,捕手,1997/06/03,27歳,5年,174cm,88kg,O型,右右,群馬,"2,200万円",西武
38,野田　海人,捕手,2005/03/18,19歳,2年,174cm,80kg,A型,右右,福岡,650万円,西武
40,浜屋　将太,投手,1999/01/26,25歳,5年,176cm,77kg,O型,左左,鹿児島,750万円,西武
41,成田　晴風,投手,2006/02/27,18歳,1年,184cm,86kg,AB型,右右,青森,650万円,西武
42,ボー・タカハシ,投手,1997/01/23,27歳,3年,183cm,93kg,不明,右右,ブラジル,"3,500万円",西武
43,羽田　慎之介,投手,2003/12/25,21歳,3年,191cm,84kg,O型,左左,埼玉,600万円,西武
44,アギラー,内野手,1990/06/30,34歳,1年,190cm,125kg,不明,右右,ベネズエラ,"21,000万円",西武
45,本田　圭佑,投手,1993/04/24,31歳,9年,180cm,80kg,A型,右右,宮城,"2,700万円",西武
46,鈴木　将平,外野手,1998/05/20,26歳,8年,175cm,80kg,O型,左左,静岡,"2,300万円",西武
47,杉山　遙希,投手,2005/09/23,19歳,1年,181cm,82kg,O型,左左,東京,700万円,西武
48,今井　達也,投手,1998/05/09,26歳,8年,180cm,70kg,A型,右右,栃木,"8,000万円",西武
50,髙松　渡,内野手,1999/07/02,25歳,7年,177cm,75kg,A型,右左,兵庫,"1,060万円",西武
51,西川　愛也,外野手,1999/06/10,25歳,7年,181cm,87kg,A型,右左,大阪,"1,100万円",西武
52,陽川　尚将,内野手,1991/07/17,33歳,11年,180cm,90kg,O型,右右,大阪,"1,800万円",西武
53,牧野　翔矢,捕手,2001/03/04,23歳,6年,178cm,80kg,B型,右左,石川,660万円,西武
54,アブレイユ,投手,1995/09/26,29歳,1年,188cm,86kg,不明,右右,ドミニカ共和国,"15,000万円",西武
55,コルデロ,外野手,1994/09/02,30歳,1年,191cm,102kg,不明,右左,ドミニカ共和国,"10,000万円",西武
56,宮澤　太成,投手,1999/04/15,25歳,1年,185cm,95kg,A型,右右,長野,900万円,西武
57,黒田　将矢,投手,2004/01/24,20歳,3年,188cm,84kg,B型,右右,青森,650万円,西武
58,中村　祐太,投手,1995/08/31,29歳,11年,184cm,90kg,A型,右右,東京,"1,000万円",西武
59,大曲　錬,投手,1998/05/21,26歳,4年,180cm,81kg,A型,右右,福岡,820万円,西武
60,中村　剛也,内野手,1983/08/15,41歳,23年,175cm,102kg,O型,右右,大阪,"15,000万円",西武
61,平良　海馬,投手,1999/11/15,25歳,7年,173cm,93kg,O型,右左,沖縄,"25,000万円",西武
62,滝澤　夏央,内野手,2003/08/13,21歳,3年,164cm,65kg,A型,右左,新潟,730万円,西武
63,長谷川　信哉,外野手,2002/05/17,22歳,4年,183cm,85kg,B型,右右,京都,"1,100万円",西武
65,古市　尊,捕手,2002/06/15,22歳,3年,176cm,73kg,O型,右右,香川,700万円,西武
66,ブランドン,内野手,1998/06/15,26歳,4年,179cm,86kg,O型,右右,沖縄,600万円,西武
67,野村　大樹,内野手,2000/09/10,24歳,6年,171cm,85kg,O型,右右,兵庫,"1,070万円",西武
68,岸　潤一郎,外野手,1996/12/08,28歳,5年,174cm,85kg,A型,右右,兵庫,"1,650万円",西武
69,水上　由伸,投手,1998/07/13,26歳,4年,176cm,79kg,O型,右右,長野,"3,300万円",西武
70,豆田　泰志,投手,2003/01/15,21歳,4年,173cm,88kg,B型,右右,埼玉,750万円,西武
71,菅井　信也,投手,2003/06/28,21歳,3年,183cm,80kg,A型,左左,山形,280万円,西武
73,高木　渉,外野手,1999/12/06,25歳,7年,181cm,87kg,B型,右左,福岡,700万円,西武
75,奥村　光一,外野手,1999/12/24,25歳,1年,178cm,83kg,A型,右右,静岡,400万円,西武
78,ガルシア,外野手,2000/09/05,24歳,1年,198cm,115kg,不明,右両,ドミニカ共和国,400万円,西武
99,村田　怜音,内野手,2001/08/04,23歳,1年,196cm,110kg,A型,右右,三重,700万円,西武
112,粟津　凱士,投手,1997/03/01,27歳,6年,180cm,88kg,A型,右右,山形,500万円,西武
113,伊藤　翔,投手,1999/02/10,25歳,7年,177cm,78kg,A型,右右,千葉,500万円,西武
114,上間　永遠,投手,2001/01/31,23歳,5年,180cm,82kg,B型,右右,沖縄,500万円,西武
115,佐々木　健,投手,1996/05/13,28歳,4年,179cm,87kg,B型,左左,青森,"2,000万円",西武
116,ロペス,投手,1999/09/02,25歳,1年,193cm,102kg,不明,右右,ドミニカ共和国,400万円,西武
118,野村　和輝,内野手,2003/06/07,21歳,2年,183cm,95kg,A型,右右,大阪,320万円,西武
119,モンテル,外野手,2000/03/18,24歳,2年,186cm,88kg,B型,右右,沖縄,400万円,西武
120,井上　広輝,投手,2001/07/17,23歳,5年,181cm,84kg,AB型,右右,神奈川,500万円,西武
121,三浦　大輝,投手,2000/04/07,24歳,2年,180cm,88kg,A型,右左,愛知,400万円,西武
122,是澤　涼輔,捕手,2000/04/19,24歳,2年,177cm,78kg,AB型,右右,三重,400万円,西武
123,ジョセフ,外野手,1999/03/24,25歳,4年,175cm,88kg,O型,右両,三重,400万円,西武
125,シンクレア,投手,2001/06/12,23歳,1年,193cm,94kg,不明,左左,カナダ,400万円,西武
126,谷口　朝陽,内野手,2004/04/03,20歳,1年,185cm,85kg,O型,右右,徳島,280万円,西武
127,森脇　亮介,投手,1992/07/13,32歳,6年,175cm,70kg,A型,右右,京都,"3,600万円",西武
129,川下　将勲,投手,2005/04/03,19歳,1年,186cm,72kg,A型,左左,北海道,280万円,西武
130,金子　功児,内野手,2003/09/02,21歳,1年,176cm,79kg,A型,右左,神奈川,320万円,西武
131,木瀬　翔太,投手,2005/04/05,19歳,1年,185cm,83kg,O型,右右,京都,280万円,西武
134,川野　涼多,内野手,2001/06/28,23歳,5年,178cm,80kg,AB型,右右,熊本,650万円,西武
135,仲三河　優太,外野手,2002/10/22,22歳,4年,180cm,90kg,A型,右左,栃木,550万円,西武
136,赤上　優人,投手,1999/02/10,25歳,4年,177cm,83kg,A型,右右,秋田,470万円,西武
0,池田　来翔,内野手,1999/12/11,25歳,3年,180cm,95kg,O型,右右,千葉,"1,600万円",ロッテ
0,荻野　貴司,外野手,1985/10/21,39歳,15年,172cm,75kg,O型,右右,奈良,"9,000万円",ロッテ
1,藤原　恭大,外野手,2000/05/06,24歳,6年,181cm,80kg,B型,左左,大阪,"3,200万円",ロッテ
2,松川　虎生,捕手,2003/10/20,21歳,3年,178cm,98kg,A型,右右,大阪,"2,000万円",ロッテ
3,角中　勝也,外野手,1987/05/25,37歳,18年,180cm,85kg,A型,右左,石川,"6,600万円",ロッテ
4,友杉　篤輝,内野手,2000/11/07,24歳,2年,171cm,70kg,A型,右右,大阪,"1,900万円",ロッテ
5,安田　尚憲,内野手,1999/04/15,25歳,7年,188cm,100kg,A型,右左,大阪,"5,500万円",ロッテ
7,藤岡　裕大,内野手,1993/08/08,31歳,7年,178cm,86kg,O型,右左,岡山,"8,000万円",ロッテ
8,中村　奨吾,内野手,1992/05/28,32歳,10年,180cm,86kg,A型,右右,兵庫,"20,000万円",ロッテ
10,上田　希由翔,内野手,2001/08/12,23歳,1年,183cm,96kg,O型,右左,愛知,"1,600万円",ロッテ
11,澤村　拓一,投手,1988/04/03,36歳,12年,184cm,105kg,A型,右右,栃木,"20,000万円",ロッテ
12,石川　歩,投手,1988/04/11,36歳,11年,186cm,80kg,A型,右右,富山,"11,000万円",ロッテ
13,平沢　大河,内野手,1997/12/24,27歳,9年,176cm,80kg,A型,右左,宮城,"2,000万円",ロッテ
14,小島　和哉,投手,1996/07/07,28歳,6年,178cm,85kg,O型,左左,埼玉,"10,500万円",ロッテ
15,美馬　学,投手,1986/09/19,38歳,14年,169cm,75kg,O型,右左,茨城,"14,000万円",ロッテ
16,種市　篤暉,投手,1998/09/07,26歳,8年,183cm,88kg,AB型,右右,青森,"5,200万円",ロッテ
17,佐々木　朗希,投手,2001/11/03,23歳,5年,192cm,92kg,O型,右右,岩手,"8,000万円",ロッテ
18,二木　康太,投手,1995/08/01,29歳,11年,190cm,85kg,O型,右右,鹿児島,"3,500万円",ロッテ
19,唐川　侑己,投手,1989/07/05,35歳,17年,181cm,90kg,O型,右右,千葉,"7,150万円",ロッテ
20,東條　大樹,投手,1991/08/15,33歳,9年,178cm,85kg,O型,右右,神奈川,"5,000万円",ロッテ
22,ポランコ,外野手,1991/09/14,33歳,3年,196cm,108kg,不明,左左,ドミニカ共和国,"50,000万円",ロッテ
23,石川　慎吾,外野手,1993/04/27,31歳,13年,178cm,80kg,O型,右右,大阪,"2,800万円",ロッテ
24,東妻　勇輔,投手,1996/04/04,28歳,6年,172cm,80kg,B型,右右,和歌山,"3,000万円",ロッテ
25,岡　大海,外野手,1991/07/15,33歳,11年,185cm,80kg,B型,右右,岡山,"7,000万円",ロッテ
27,田村　龍弘,捕手,1994/05/13,30歳,12年,172cm,81kg,A型,右右,大阪,"7,000万円",ロッテ
28,菊地　吏玖,投手,2000/06/13,24歳,2年,183cm,93kg,A型,右左,北海道,"1,600万円",ロッテ
29,西野　勇士,投手,1991/03/06,33歳,16年,183cm,90kg,A型,右右,富山,"8,500万円",ロッテ
30,廣畑　敦也,投手,1997/12/03,27歳,3年,175cm,83kg,A型,右右,岡山,"1,500万円",ロッテ
31,大谷　輝龍,投手,2000/07/11,24歳,1年,180cm,81kg,A型,右右,石川,"1,200万円",ロッテ
32,佐藤　都志也,捕手,1998/01/27,26歳,5年,181cm,86kg,B型,右左,福島,"4,350万円",ロッテ
33,八木　彬,投手,1997/05/26,27歳,3年,180cm,94kg,A型,右右,和歌山,"1,100万円",ロッテ
34,高野　脩汰,投手,1998/08/13,26歳,2年,183cm,87kg,B型,左左,島根,"1,150万円",ロッテ
35,田中　晴也,投手,2004/06/06,20歳,2年,186cm,92kg,不明,右左,新潟,600万円,ロッテ
36,坂本　光士郎,投手,1994/09/09,30歳,6年,179cm,75kg,B型,左左,広島,"3,800万円",ロッテ
37,小野　郁,投手,1996/10/23,28歳,10年,175cm,78kg,AB型,右右,福岡,"3,500万円",ロッテ
38,髙部　瑛斗,外野手,1997/12/11,27歳,5年,178cm,72kg,A型,右左,神奈川,"2,800万円",ロッテ
39,大下　誠一郎,内野手,1997/11/03,27歳,5年,171cm,89kg,AB型,右右,福岡,800万円,ロッテ
40,西村　天裕,投手,1993/05/06,31歳,7年,177cm,92kg,O型,右右,和歌山,"4,000万円",ロッテ
41,ダイクストラ,投手,1990/11/22,34歳,1年,193cm,100kg,不明,右左,アメリカ,-,ロッテ
41,カイケル,投手,1988/01/01,36歳,1年,190cm,93kg,不明,左左,アメリカ,-,ロッテ
42,メルセデス,投手,1994/03/08,30歳,8年,188cm,82kg,不明,左両,ドミニカ共和国,"8,000万円",ロッテ
43,秋山　正雲,投手,2003/04/29,21歳,3年,174cm,80kg,B型,左左,千葉,560万円,ロッテ
44,井上　晴哉,内野手,1989/07/03,35歳,11年,180cm,115kg,A型,右右,広島,"3,200万円",ロッテ
45,植田　将太,捕手,1997/12/18,27歳,5年,180cm,86kg,AB型,右右,大阪,500万円,ロッテ
46,岩下　大輝,投手,1996/10/02,28歳,10年,182cm,90kg,O型,右右,石川,"4,200万円",ロッテ
47,鈴木　昭汰,投手,1998/09/07,26歳,4年,175cm,80kg,A型,左左,茨城,"1,800万円",ロッテ
48,中村　稔弥,投手,1996/07/08,28歳,6年,178cm,84kg,A型,左左,長崎,"2,000万円",ロッテ
49,本前　郁也,投手,1997/10/02,27歳,5年,176cm,82kg,A型,左左,北海道,"1,200万円",ロッテ
50,愛斗,外野手,1997/04/06,27歳,9年,177cm,92kg,O型,右右,大阪,"2,900万円",ロッテ
51,山口　航輝,外野手,2000/08/18,24歳,6年,183cm,100kg,A型,右右,大阪,"4,300万円",ロッテ
52,益田　直也,投手,1989/10/25,35歳,13年,178cm,80kg,B型,右右,和歌山,"20,000万円",ロッテ
53,木村　優人,投手,2005/06/01,19歳,1年,185cm,77kg,B型,右左,茨城,600万円,ロッテ
55,柿沼　友哉,捕手,1993/05/12,31歳,9年,180cm,86kg,A型,右右,茨城,"1,500万円",ロッテ
56,中森　俊介,投手,2002/05/29,22歳,4年,182cm,90kg,AB型,右左,兵庫,"1,500万円",ロッテ
57,小川　龍成,内野手,1998/04/05,26歳,4年,171cm,74kg,O型,右左,群馬,"1,200万円",ロッテ
58,河村　説人,投手,1997/06/18,27歳,4年,192cm,87kg,O型,右右,北海道,"1,150万円",ロッテ
59,早坂　響,投手,2005/07/26,19歳,1年,176cm,70kg,A型,右右,千葉,560万円,ロッテ
60,横山　陸人,投手,2001/08/05,23歳,5年,180cm,90kg,O型,右右,東京,"1,800万円",ロッテ
61,山本　大斗,外野手,2002/08/09,22歳,4年,180cm,90kg,A型,右右,鳥取,460万円,ロッテ
62,森　遼大朗,投手,1999/04/22,25歳,7年,180cm,87kg,A型,右左,宮崎,700万円,ロッテ
63,和田　康士朗,外野手,1999/01/14,25歳,7年,185cm,77kg,B型,左左,埼玉,"2,500万円",ロッテ
64,フェルナンデス,投手,1997/03/02,27歳,1年,190cm,106kg,不明,右右,ドミニカ共和国,"18,000万円",ロッテ
64,菅野　剛士,外野手,1993/05/06,31歳,7年,171cm,83kg,A型,右左,東京,"1,500万円",ロッテ
65,寺地　隆成,捕手,2005/08/19,19歳,1年,177cm,82kg,O型,右左,東京,500万円,ロッテ
66,澤田　圭佑,投手,1994/04/27,30歳,8年,178cm,96kg,B型,右左,愛媛,"1,940万円",ロッテ
67,茶谷　健太,内野手,1998/01/16,26歳,9年,186cm,88kg,O型,右右,神奈川,"2,000万円",ロッテ
68,金田　優太,内野手,2005/02/12,19歳,2年,183cm,83kg,O型,右左,埼玉,500万円,ロッテ
69,コルデロ,投手,1991/10/19,33歳,1年,190cm,111kg,不明,右右,ドミニカ共和国,"18,000万円",ロッテ
91,二保　旭,投手,1990/05/18,34歳,16年,182cm,74kg,B型,右右,福岡,700万円,ロッテ
92,国吉　佑樹,投手,1991/09/24,33歳,15年,196cm,106kg,A型,右右,大阪,"5,000万円",ロッテ
93,吉田　凌,投手,1997/06/20,27歳,9年,181cm,80kg,A型,右右,兵庫,700万円,ロッテ
99,ソト,内野手,1989/02/28,35歳,7年,185cm,97kg,不明,右右,プエルトリコ,"20,000万円",ロッテ
120,田中　楓基,投手,2003/08/23,21歳,3年,180cm,75kg,O型,右右,北海道,230万円,ロッテ
121,土肥　星也,投手,1995/07/07,29歳,8年,186cm,90kg,B型,左左,大阪,750万円,ロッテ
124,古谷　拓郎,投手,2000/04/21,24歳,6年,184cm,86kg,O型,右右,千葉,420万円,ロッテ
125,永島田　輝斗,投手,2003/11/30,21歳,3年,180cm,85kg,A型,右右,神奈川,230万円,ロッテ
126,村山　亮介,捕手,2003/11/12,21歳,3年,188cm,118kg,O型,右右,千葉,230万円,ロッテ
127,吉川　悠斗,投手,2005/03/14,19歳,2年,185cm,82kg,A型,左左,埼玉,230万円,ロッテ
128,白濱　快起,投手,2004/07/05,20歳,2年,192cm,87kg,A型,右右,広島,230万円,ロッテ
129,勝又　琉偉,内野手,2004/10/07,20歳,2年,188cm,78kg,A型,右右,静岡,230万円,ロッテ
130,黒川　凱星,内野手,2004/04/05,20歳,2年,178cm,80kg,A型,右右,千葉,230万円,ロッテ
133,武内　涼太,投手,2005/10/25,19歳,1年,184cm,84kg,O型,右右,大分,230万円,ロッテ
134,松石　信八,内野手,2005/12/18,19歳,1年,175cm,75kg,O型,右右,佐賀,230万円,ロッテ
135,髙野　光海,外野手,2004/06/17,20歳,1年,187cm,87kg,O型,右右,兵庫,250万円,ロッテ
136,藤田　和樹,外野手,2005/11/04,19歳,1年,185cm,82kg,A型,右左,山口,230万円,ロッテ
137,富山　紘之進,捕手,2005/09/18,19歳,1年,181cm,70kg,O型,右右,大阪,230万円,ロッテ
138,マーティン,外野手,2000/10/14,24歳,1年,188cm,95kg,O型,右右,キューバ,230万円,ロッテ
